variable,type,count,non_null,missing_count,mean,median,std,min,25%,75%,max,sum,skew,kurtosis,type,unique_count,top,freq,file,date_column,start,end,inferred_freq
ObsTime,numeric,9404.0,9404.0,0.0,15.727881752445768,16.0,8.799724028407116,1.0,8.0,23.0,31.0,147905.0,0.0068587958106397775,-1.193910572550783,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
StnPres,numeric,9404.0,9404.0,0.0,1002.5950765631645,1002.6,5.65683904066835,962.7,998.9,1006.7,1020.8,9428404.1,-0.4199417414319168,1.070405954259099,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
SeaPres,numeric,9404.0,9404.0,0.0,1012.491248404934,1012.4,5.840305317043894,972.1,1008.6,1016.8,1031.5,9521467.7,-0.3773358301909157,0.9259024612795099,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
StnPresMax,numeric,9404.0,9404.0,0.0,1004.5815504040834,1004.5,5.566982404986319,968.7,1000.7,1008.7,1023.0,9447084.9,-0.163649499913432,0.041427669691516567,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
StnPresMin,numeric,9404.0,9404.0,0.0,1000.518970650787,1000.6,5.882387236100458,949.7,997.0,1004.7,1016.9,9408880.4,-0.912722264330247,3.954380681623792,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
Temperature,numeric,9404.0,9404.0,0.0,23.97950871969375,25.1,4.782490945719397,5.8,20.2,28.1,32.0,225503.30000000002,-0.5787848515083631,-0.679907926660881,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
T Max,numeric,9404.0,9404.0,0.0,28.643492131008085,29.7,4.821268238687356,7.8,25.5,32.6,39.9,269363.4,-0.8102616314725947,0.054122830473817274,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
T Min,numeric,9404.0,9404.0,0.0,20.62471288813271,21.9,4.93127108491309,4.4,16.6,24.8,28.9,193954.8,-0.5433134924137105,-0.7771753425813333,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
Td dew point,numeric,9404.0,9404.0,0.0,18.839972352190557,20.1,5.032365780484573,-0.6,15.1,23.3,27.4,177171.1,-0.7022443471520419,-0.3611440552944054,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
RH,numeric,9404.0,9404.0,0.0,74.09793704806465,74.0,7.679219601983931,36.0,70.0,79.0,99.0,696817.0,-0.05061334452596488,0.7257922279175602,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
RHMin,numeric,9404.0,9404.0,0.0,56.51595065929392,57.0,10.265240262747428,13.0,51.0,62.0,94.0,531476.0,0.04946789360467205,0.919153787938845,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
WS,numeric,9404.0,9404.0,0.0,1.485867715865589,1.3,0.5911999398385458,0.1,1.1,1.8,6.3,13973.1,1.3426832107090445,3.2921985185293985,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
PrecpHour,numeric,9404.0,9404.0,0.0,1.319332199064228,0.0,3.18671944741985,0.0,0.0,0.8,24.0,12407.0,3.472739963161521,13.856466145815483,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
SunShine,numeric,9404.0,9404.0,0.0,5.564089749042961,6.1,3.5112808451146944,0.0,2.3,8.8,12.5,52324.700000000004,-0.2513955427637522,-1.295927045348084,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
SunshineRate,numeric,9404.0,9404.0,0.0,46.53043385793279,50.25,29.941130779064256,0.0,18.9,73.225,94.4,437572.19999999995,-0.1770447508455053,-1.3016670630050557,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
VisbMean,numeric,9404.0,9039.0,365.0,11.166091381790022,10.8,3.0742219443322227,2.6,9.3,12.8,21.3,100930.3,0.5647343888094537,0.5601211257821546,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
Cloud Amount,numeric,9404.0,9039.0,365.0,5.886093594424161,6.0,2.825720429649572,0.0,3.8,8.4,10.0,53204.399999999994,-0.3169664537132318,-0.9053017131325061,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
TxSoil0cm,numeric,9404.0,9404.0,0.0,25.405455125478518,26.3,4.436085028837469,11.2,21.8,29.0,35.9,238912.9,-0.4770652132743381,-0.7282738766042334,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
TxSoil10cm,numeric,9404.0,9404.0,0.0,25.10529561888558,26.0,4.163846976019718,13.3,21.5,28.7,33.0,236090.2,-0.445100538977114,-0.9850125442731055,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
TxSoil20cm,numeric,9404.0,9404.0,0.0,25.47064015312633,26.4,3.9756587325074,15.3,21.975,29.0,33.3,239525.9,-0.4061984143503141,-1.0870693432634537,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
TxSoil30cm,numeric,9404.0,9404.0,0.0,25.47292641429179,26.3,3.8604847154371518,15.7,22.0,28.9,33.0,239547.4,-0.38286499043349265,-1.1212329436901303,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
