variable,type,count,non_null,missing_count,mean,median,std,min,25%,75%,max,sum,skew,kurtosis,type,unique_count,top,freq,file,date_column,start,end,inferred_freq
Wh,numeric,313.0,313.0,0.0,6.471513482428114,6.38998,1.2961412212237762,0.24847,5.59926,7.43875,10.91139,2025.5837199999999,0.08208938669627258,1.1644886239216348,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
DHT11_temp,numeric,313.0,313.0,0.0,32.97286430378062,33.89750625,3.4342353838999746,22.49924208333333,30.29040458333333,35.86951208333333,38.48644458333333,10320.506527083333,-0.7473406201440386,-0.282504498541706,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
DHT11_humidity,numeric,313.0,313.0,0.0,40.09124762779553,40.09658833333334,11.541908447057157,15.0,35.12421375,49.29981,62.83030458333334,12548.560507500002,-0.3369609434077212,-0.712828250738776,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
LM35_tempC,numeric,313.0,313.0,0.0,33.357914791001065,33.366827083333334,0.24863013718490018,32.48612583333333,33.24639625,33.49652125,33.85757541666667,10441.027329583334,-0.5775827046763454,0.5950672660001728,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
Temperature,numeric,313.0,313.0,0.0,24.949520766773162,26.5,4.583758405037645,13.0,21.0,28.9,30.9,7809.2,-0.6900774161932725,-0.7508773761004468,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
T Max,numeric,313.0,313.0,0.0,29.298083067092648,30.5,4.419804950534588,16.3,26.0,33.1,35.8,9170.3,-0.7900329193911361,-0.18826133551426727,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
T Min,numeric,313.0,313.0,0.0,21.701597444089455,23.5,4.691156847537564,10.3,17.5,25.5,28.0,6792.599999999999,-0.6826764091175046,-0.8524084400801692,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
Td dew point,numeric,313.0,313.0,0.0,19.854632587859424,22.4,5.130282075624408,5.0,15.7,24.0,25.4,6214.5,-0.8888920416735849,-0.2925426011736745,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
RH,numeric,313.0,313.0,0.0,74.3258785942492,74.0,7.327669808236909,51.0,71.0,78.0,96.0,23264.0,0.2692458249594741,0.9135715447639838,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
RHMin,numeric,313.0,313.0,0.0,55.91693290734824,56.0,9.743150167075147,22.0,50.0,61.0,90.0,17502.0,0.4162946501790732,1.3955476954462442,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
PrecpHour,numeric,313.0,313.0,0.0,0.5501597444089457,0.0,1.3197737908502802,0.0,0.0,0.4,9.9,172.2,3.7475852518822395,17.29636313786605,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
SunShine,numeric,313.0,313.0,0.0,5.643769968051118,6.5,3.474186102545578,0.0,2.5,8.7,11.4,1766.5,-0.29202983244920266,-1.2749478067704192,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
