column_name,dtype,non_null_count,null_count,null_ratio,unique_values,has_duplicates,is_constant,is_numeric,mean,std,min,max,median,q25,q75,iqr,skewness,kurtosis,is_datetime,is_binary,is_boolean,most_common_value,most_common_freq
ObsTime,int64,9404,0,0.0,31,True,False,True,15.727881752445768,8.799724028407116,1.0,31.0,16.0,8.0,23.0,15.0,0.006857701739011445,-1.1939138368867452,False,False,False,,
StnPres,float64,9404,0,0.0,352,True,False,True,1002.5950765631645,5.65683904066835,962.7,1020.8,1002.6,998.9,1006.7,7.800000000000068,-0.41987475498742444,1.0691989577574503,False,False,False,,
SeaPres,float64,9404,0,0.0,361,True,False,True,1012.491248404934,5.840305317043894,972.1,1031.5,1012.4,1008.6,1016.8,8.199999999999932,-0.3772756399712966,0.9247722842068145,False,False,False,,
StnPresMax,float64,9404,0,0.0,337,True,False,True,1004.5815504040834,5.566982404986319,968.7,1023.0,1004.5,1000.7,1008.7,8.0,-0.163623395582615,0.04076768781624995,False,False,False,,
StnPresMaxTime,str,9404,0,0.0,9404,False,False,False,,,,,,,,,,,False,False,False,2000/01/01 08:11:00,1.0
StnPresMin,float64,9404,0,0.0,381,True,False,True,1000.5189706507867,5.882387236100458,949.7,1016.9,1000.6,997.0,1004.7,7.7000000000000455,-0.9125766726604673,3.9516405367731524,False,False,False,,
StnPresMinTime,str,9404,0,0.0,9404,False,False,False,,,,,,,,,,,False,False,False,2000/01/01 15:28:00,1.0
Temperature,float64,9404,0,0.0,224,True,False,True,23.979508719693747,4.782490945719396,5.8,32.0,25.1,20.2,28.1,7.900000000000002,-0.5786925274178898,-0.6801844396839343,False,False,False,,
T Max,float64,9404,0,0.0,256,True,False,True,28.643492131008085,4.821268238687357,7.8,39.9,29.7,25.5,32.6,7.100000000000001,-0.8101323836735644,0.05345609973053689,False,False,False,,
T Max Time,str,9404,0,0.0,9404,False,False,False,,,,,,,,,,,False,False,False,2000/01/01 12:51:00,1.0
T Min,float64,9404,0,0.0,228,True,False,True,20.62471288813271,4.93127108491309,4.4,28.9,21.9,16.6,24.8,8.2,-0.5432268264895814,-0.777400147322513,False,False,False,,
T Min Time,str,9404,0,0.0,9404,False,False,False,,,,,,,,,,,False,False,False,2000/01/01 23:48:00,1.0
Td dew point,float64,9404,0,0.0,252,True,False,True,18.839972352190554,5.032365780484573,-0.6,27.4,20.1,15.1,23.3,8.200000000000001,-0.7021323295854598,-0.36159002621818903,False,False,False,,
RH,int64,9404,0,0.0,61,True,False,True,74.09793704806465,7.679219601983931,36.0,99.0,74.0,70.0,79.0,9.0,-0.050605271006094944,0.724768431344994,False,False,False,,
RHMin,int64,9404,0,0.0,79,True,False,True,56.51595065929392,10.265240262747428,13.0,94.0,57.0,51.0,62.0,11.0,0.04946000279987184,0.9180271985249746,False,False,False,,
RHMinTime,str,9404,0,0.0,9404,False,False,False,,,,,,,,,,,False,False,False,2000/01/01 14:16:00,1.0
WS,float64,9404,0,0.0,51,True,False,True,1.485867715865589,0.5911999398385458,0.1,6.3,1.3,1.1,1.8,0.7,1.3424690343948293,3.28981039600432,False,False,False,,
WD,str,9404,0,0.0,72,True,False,False,,,,,,,,,,,False,False,False,340,1069.0
WSGust,str,9404,0,0.0,179,True,False,False,,,,,,,,,,,False,False,False,6.8,264.0
WDGust,str,9404,0,0.0,73,True,False,False,,,,,,,,,,,False,False,False,350,1055.0
WGustTime,str,9404,0,0.0,9404,False,False,False,,,,,,,,,,,False,False,False,2000/01/01 14:34:00,1.0
Precp,str,9404,0,0.0,576,True,False,False,,,,,,,,,,,False,False,False,0.0,6191.0
PrecpHour,float64,9404,0,0.0,206,True,False,True,1.319332199064228,3.18671944741985,0.0,24.0,0.0,0.0,0.8,0.8,3.472186013697041,13.848461958310391,False,False,False,,
PrecpMax10,str,9404,0,0.0,116,True,False,False,,,,,,,,,,,False,False,False,0.0,6191.0
PrecpMax10Time,str,9251,153,0.01626967247979583,3213,True,False,False,,,,,,,,,,,False,False,False,--,6039.0
PrecpMax60,str,9404,0,0.0,289,True,False,False,,,,,,,,,,,False,False,False,0.0,6191.0
PrecpMax60Time,str,9251,153,0.01626967247979583,3214,True,False,False,,,,,,,,,,,False,False,False,--,6038.0
SunShine,float64,9404,0,0.0,123,True,False,True,5.564089749042961,3.5112808451146944,0.0,12.5,6.1,2.3,8.8,6.500000000000001,-0.25135544174042085,-1.2958760767584456,False,False,False,,
SunshineRate,float64,9404,0,0.0,924,True,False,True,46.53043385793279,29.941130779064256,0.0,94.4,50.25,18.9,73.225,54.324999999999996,-0.17701650978917507,-1.3016130429675283,False,False,False,,
GloblRad,str,9404,0,0.0,2468,True,False,False,,,,,,,,,,,False,False,False,X,119.0
VisbMean,float64,9039,365,0.03881327094853254,148,True,False,True,11.166091381790022,3.0742219443322227,2.6,21.3,10.8,9.3,12.8,3.5,0.5646406681949299,0.5591476211714381,False,False,False,,
EvapA,str,9404,0,0.0,161,True,False,False,,,,,,,,,,,False,False,False,/,201.0
UVI Max,str,9404,0,0.0,17,True,False,False,,,,,,,,,,,False,False,False,5,1557.0
UVI Max Time,str,9404,0,0.0,9379,True,False,False,,,,,,,,,,,False,False,False,--,26.0
Cloud Amount,float64,9039,365,0.03881327094853254,101,True,False,True,5.886093594424161,2.825720429649572,0.0,10.0,6.0,3.8,8.4,4.6000000000000005,-0.3169138514785991,-0.905464732133241,False,False,False,,
TxSoil0cm,float64,9404,0,0.0,227,True,False,True,25.405455125478518,4.436085028837469,11.2,35.9,26.3,21.8,29.0,7.199999999999999,-0.4769891148557355,-0.7285246778290526,False,False,False,,
TxSoil5cm,str,9404,0,0.0,206,True,False,False,,,,,,,,,,,False,False,False,28.8,130.0
TxSoil10cm,float64,9404,0,0.0,190,True,False,True,25.10529561888558,4.163846976019718,13.3,33.0,26.0,21.5,28.7,7.199999999999999,-0.44502953936072404,-0.9851268607844195,False,False,False,,
TxSoil20cm,float64,9404,0,0.0,178,True,False,True,25.470640153126332,3.9756587325074,15.3,33.3,26.4,21.975,29.0,7.024999999999999,-0.4061336201542387,-1.0871294054113785,False,False,False,,
TxSoil30cm,float64,9404,0,0.0,170,True,False,True,25.472926414291795,3.8604847154371513,15.7,33.0,26.3,22.0,28.9,6.899999999999999,-0.382803918237285,-1.1212748441436782,False,False,False,,
