column_name,dtype,non_null_count,null_count,null_ratio,unique_values,has_duplicates,is_constant,is_numeric,most_common_value,most_common_freq,is_datetime,is_binary,is_boolean,mean,std,min,max,median,q25,q75,iqr,skewness,kurtosis
date,str,313,0,0.0,313,False,False,False,2025-04-22,1.0,False,False,False,,,,,,,,,,
Wh,float64,313,0,0.0,310,True,False,True,,,False,False,False,6.471513482428114,1.2961412212237762,0.24847,10.91139,6.38998,5.59926,7.43875,1.8394899999999996,0.08169546221038902,1.1268613040205446
DHT11_temp,float64,313,0,0.0,292,True,False,True,,,False,False,False,32.97286430378062,3.4342353838999746,22.49924208333333,38.48644458333333,33.89750625,30.29040458333333,35.86951208333333,5.579107500000003,-0.7437543371735079,-0.2971200668014644
DHT11_humidity,float64,313,0,0.0,264,True,False,True,,,False,False,False,40.09124762779553,11.541908447057157,15.0,62.83030458333334,40.09658833333334,35.12421375,49.29981,14.175596249999998,-0.33534396011990786,-0.7206003149367692
LM35_tempC,float64,313,0,0.0,310,True,False,True,,,False,False,False,33.357914791001065,0.24863013718490018,32.48612583333333,33.85757541666667,33.366827083333334,33.24639625,33.49652125,0.25012500000000415,-0.5748110434525054,0.5664955405344263
Temperature,float64,313,0,0.0,129,True,False,True,,,False,False,False,24.949520766773162,4.583758405037645,13.0,30.9,26.5,21.0,28.9,7.899999999999999,-0.6867659236564897,-0.7580443392724563
T Max,float64,313,0,0.0,129,True,False,True,,,False,False,False,29.298083067092648,4.419804950534588,16.3,35.8,30.5,26.0,33.1,7.100000000000001,-0.7862417677681655,-0.2043756671252912
T Max Time,str,313,0,0.0,313,False,False,False,2025/04/22 13:31:00,1.0,False,False,False,,,,,,,,,,
T Min,float64,313,0,0.0,125,True,False,True,,,False,False,False,21.701597444089455,4.691156847537564,10.3,28.0,23.5,17.5,25.5,8.0,-0.6794004319868503,-0.8579607393039472
T Min Time,str,313,0,0.0,313,False,False,False,2025/04/22 05:19:00,1.0,False,False,False,,,,,,,,,,
