column_name,dtype,non_null_count,null_count,null_ratio,unique_values,has_duplicates,is_constant,is_numeric,most_common_value,most_common_freq,is_datetime,is_binary,is_boolean,mean,std,min,max,median,q25,q75,iqr,skewness,kurtosis
date,str,366,0,0.0,366,False,False,False,2005-01-01,1.0,False,False,False,,,,,,,,,,
doy,int64,366,0,0.0,365,True,False,True,,,False,False,False,182.50273224043715,105.79462525213859,1.0,365.0,182.5,91.25,273.75,182.5,0.0001526534986017636,-1.2002259928850572
month,int64,366,0,0.0,12,True,False,True,,,False,False,False,6.5109289617486334,3.4599296390632728,1.0,12.0,7.0,4.0,9.75,5.75,-0.008429385872358326,-1.2094989023610474
day,int64,366,0,0.0,31,True,False,True,,,False,False,False,15.680327868852459,8.829837082636697,1.0,31.0,16.0,8.0,23.0,15.0,0.008417642330893847,-1.1943665411503095
E_day_kWh,float64,366,0,0.0,364,True,False,True,,,False,False,False,0.3145708743169399,0.10321104742186471,0.0,0.52019,0.33220000000000005,0.26026749999999993,0.388845,0.12857750000000007,-0.7806820309131388,0.15459150696096424
Hpoa_day_kWhm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,4.728061530054645,1.5247920381606799,0.0,7.52417,5.05801,3.96151,5.8227075,1.8611974999999998,-0.8065887600713969,0.06297843090459088
G(i)_Whm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,4728.061530054645,1524.79203816068,0.0,7524.17,5058.01,3961.5099999999998,5822.7075,1861.1975000000007,-0.8065887600713973,0.06297843090459221
G(i)_kWhm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,4.728061530054645,1.5247920381606799,0.0,7.52417,5.0580099999999995,3.96151,5.8227075,1.8611974999999998,-0.8065887600713971,0.06297843090459176
G(i)_mean,float64,366,0,0.0,366,False,False,True,,,False,False,False,197.3403164845173,64.1265911284911,0.0,370.8525,210.75041666666667,165.06291666666667,242.6128125,77.54989583333332,-0.7468730532528914,0.11409091089539736
G(i)_min,float64,366,0,0.0,1,True,True,False,0.0,366.0,False,True,False,,,,,,,,,,
G(i)_max,float64,366,0,0.0,366,False,False,True,,,False,False,False,724.0710655737705,211.2106912539167,0.0,1078.62,767.06,637.105,883.1724999999999,246.06749999999988,-1.0141139647166701,0.7155050227594031
G(i)_std,float64,366,0,0.0,366,False,False,True,,,False,False,False,264.4427324097575,83.91092182484842,0.0,411.0123655971094,276.75791551084313,227.92893989475263,325.436162660244,97.50722276549138,-0.7956146125196798,0.18058734336689763
G(i)_p10,float64,366,0,0.0,1,True,True,False,0.0,366.0,False,True,False,,,,,,,,,,
G(i)_p90,float64,366,0,0.0,366,False,False,True,,,False,False,False,622.325743169399,205.5733174161982,0.0,979.143,657.198,529.61175,775.27275,245.66099999999994,-0.753236759511023,-0.005910663604777877
P_Wh,float64,366,0,0.0,364,True,False,True,,,False,False,False,314.5708743169399,103.21104742186472,0.0,520.1899999999999,332.20000000000005,260.2675,388.84499999999997,128.5775,-0.7806820309131391,0.15459150696096513
P_kWh,float64,366,0,0.0,364,True,False,True,,,False,False,False,0.3145708743169399,0.10321104742186471,0.0,0.5201899999999999,0.33220000000000005,0.26026749999999993,0.388845,0.12857750000000007,-0.7806820309131394,0.15459150696096513
P_mean,float64,366,0,0.0,364,True,False,True,,,False,False,False,13.131450364298722,4.352022249537236,0.0,26.715,13.841666666666669,10.844479166666666,16.201874999999998,5.357395833333332,-0.6896497763609425,0.2818355390549043
P_min,float64,366,0,0.0,1,True,True,False,0.0,366.0,False,True,False,,,,,,,,,,
P_max,float64,366,0,0.0,352,True,False,True,,,False,False,False,48.355601092896165,13.804876150408173,0.0,75.17,51.18,43.0775,58.2425,15.165,-1.083992661117717,1.0461669233592952
P_std,float64,366,0,0.0,366,False,False,True,,,False,False,False,17.867368231163674,5.642005366957044,0.0,28.877984239414705,18.574100784069145,15.48703506780656,21.912653905691574,6.425618837885015,-0.8172777871271227,0.36069626092889173
P_p10,float64,366,0,0.0,1,True,True,False,0.0,366.0,False,True,False,,,,,,,,,,
P_p90,float64,366,0,0.0,366,False,False,True,,,False,False,False,41.91060109289617,13.749626014914957,0.0,68.937,43.9525,35.79225,51.786500000000004,15.994250000000001,-0.7937693534171361,0.1740858805601051
