category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_070912/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_070927/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_070941/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_070955/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071009/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071024/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071038/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071053/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071110/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071124/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
