column,records,values_count,min,median,max,mean,std
category,30,30,90.0,90.0,90.0,90.0,0.0
file,30,0,,,,,
MAE,30,30,0.5808419797979768,0.5808419797979768,0.5808419797979768,0.5808419797979768,0.0
MAPE(%),30,30,11.714839782037371,11.714839782037371,11.714839782037371,11.714839782037371,0.0
MASE_lag1,30,30,0.75756028573278,0.75756028573278,0.75756028573278,0.75756028573278,0.0
MASE_lastValue,30,30,0.8699751165327911,0.8699751165327911,0.8699751165327911,0.8699751165327911,0.0
R2,30,30,-0.5508870252468474,-0.5508870252468474,-0.5508870252468474,-0.5508870252468474,0.0
RMSSE,30,30,0.6045841006166166,0.6045841006166166,0.6045841006166166,0.6045841006166166,0.0
SMAPE(%),30,30,10.881402231627511,10.881402231627511,10.881402231627511,10.881402231627511,0.0
nMAE,30,30,0.10998608311591987,0.10998608311591987,0.10998608311591987,0.10998608311591987,0.0
nRMSE,30,30,0.13246352459781888,0.13246352459781888,0.13246352459781888,0.13246352459781888,0.0
