category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260426_031610/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
30,260426_031610/30/forecast_Wh_metrics_30d.json,[0.4667696841044681],[8.20471493380209],[0.6529122283681522],[-0.329250734639267],[0.5342681432055231],[8.571587185178982],[0.08547818747329955],[0.10473198180579844]
60,260426_031610/60/forecast_Wh_metrics_60d.json,[0.6042735968960524],[10.870264665072044],[0.8221591917292043],[-1.12298224841361],[0.666357051413545],[11.607614567194249],[0.11354045108939509],[0.13893486034430433]
90,260426_031610/90/forecast_Wh_metrics_90d.json,[0.5513048847768094],[10.487469512925477],[0.7190366753151334],[-0.4072347486381267],[0.5759037624404807],[10.465414425167285],[0.10439304834744315],[0.12617970291346822]
120,260426_031909/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
60,260426_031909/60/forecast_Wh_metrics_60d.json,[0.6042735968960524],[10.870264665072044],[0.8221591917292043],[-1.12298224841361],[0.666357051413545],[11.607614567194249],[0.11354045108939509],[0.13893486034430433]
90,260426_031909/90/forecast_Wh_metrics_90d.json,[0.5469067737223836],[10.410442704932812],[0.7133004606768006],[-0.37842791550740706],[0.5699787576819607],[10.378663171033944],[0.10356023834952707],[0.12488154271909338]
120,260426_032110/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
30,260426_032110/30/forecast_Wh_metrics_30d.json,[0.46676968410446834],[8.204714933802094],[0.6529122283681525],[-0.32925073463926835],[0.5342681432055234],[8.571587185178982],[0.08547818747329959],[0.10473198180579851]
60,260426_032110/60/forecast_Wh_metrics_60d.json,[0.6039303693994077],[10.86449234014446],[0.8216922051809418],[-1.120788833186512],[0.6660127302536359],[11.600431412370412],[0.1134759600955878],[0.13886306968468112]
