category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260426_031610/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_031909/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_032110/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_032419/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_032739/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_032958/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_033317/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_033857/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_034349/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_034627/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
120,260426_034904/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
