column,records,values_count,min,median,max,mean,std
category,30,30,30.0,30.0,30.0,30.0,0.0
file,30,0,,,,,
MAE,30,30,0.4538484474356842,0.4538484474356842,0.4538484474356842,0.4538484474356842,0.0
MAPE(%),30,30,8.147001838998033,8.147001838998033,8.147001838998033,8.147001838998033,0.0
MASE_lag1,30,30,0.6348381466229465,0.6348381466229465,0.6348381466229465,0.6348381466229465,0.0
R2,30,30,-0.11235806872052523,-0.11235806872052523,-0.11235806872052523,-0.11235806872052523,0.0
RMSSE,30,30,0.48874027570579653,0.48874027570579653,0.48874027570579653,0.48874027570579653,0.0
SMAPE(%),30,30,8.327012325260817,8.327012325260817,8.327012325260817,8.327012325260817,0.0
nMAE,30,30,0.08311195862859594,0.08311195862859594,0.08311195862859594,0.08311195862859594,0.0
nRMSE,30,30,0.09580720526563345,0.09580720526563345,0.09580720526563345,0.09580720526563345,0.0
