category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
90,6vB1-autoTs_WeatherToDayWh_260420_042604_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_042723_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_042836_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_042951_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_043119_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_043242_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_043407_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_043520_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_043639_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_043749_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_043916_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_044044_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_044203_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_044315_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_044436_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_044604_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_044732_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_044856_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_045020_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_045135_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_045255_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_045410_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_045525_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_045635_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_045746_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_045856_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_050004_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
90,6vB1-autoTs_WeatherToDayWh_260420_050111_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
