category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260505_010714/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_010924/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_011141/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_011349/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_011557/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_011806/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_012011/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_012209/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_012404/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_012612/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_012809/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_013005/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_013200/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_013355/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_013551/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_013746/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_013941/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_014136/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_014331/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_014528/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_014726/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_014918/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_015105/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_015252/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_015440/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_015628/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_015816/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_020004/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_020153/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
120,260505_020350/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
