category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260424_033257/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_033257/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_033257/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_033257/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_033451/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_033451/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_033451/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_033451/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_033634/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_033634/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_033634/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_033634/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_033837/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_033837/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_033837/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_033837/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_034049/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_034049/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_034049/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_034049/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_034243/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_034243/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_034243/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_034243/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
