category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
90,260424_033257/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_033451/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_033634/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_033837/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_034049/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_034243/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_034427/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_034616/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_034755/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_034944/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_035133/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_035328/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_035527/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_035750/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_035947/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_040135/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_040331/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_040553/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_040757/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_040950/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_041127/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_041300/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
90,260424_041435/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
