category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260424_020001/120/forecast_Wh_metrics_120d.json,[1.0989333814225226],[21.84682833155487],[1.3467098221423417],[-2.8152185827701603],[1.0506152627417438],[18.912301830343583],[0.20102427646492704],[0.23408088591131676]
90,260424_020001/90/forecast_Wh_metrics_90d.json,[0.5537930864342162],[11.033199392447077],[0.7222819000476871],[-0.40218690080488373],[0.5748699312984116],[10.410296372168663],[0.10486420498525348],[0.12595319196688892]
120,260424_020320/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020320/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020320/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020320/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020350/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020350/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020350/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020350/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020421/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020421/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020421/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020421/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020456/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020456/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020456/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020456/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020530/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020530/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020530/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020530/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020606/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020606/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020606/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020606/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020640/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020640/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020640/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020640/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020714/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020714/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020714/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020714/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020747/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020747/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020747/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020747/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020822/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020822/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020822/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020822/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020857/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020857/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020857/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020857/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_020933/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_020933/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_020933/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_020933/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_021014/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_021014/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_021014/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_021014/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_021052/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_021052/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_021052/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_021052/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_021130/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_021130/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_021130/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_021130/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_021209/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_021209/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
