column,records,values_count,min,median,max,mean,std
category,30,30,30.0,30.0,30.0,30.0,0.0
file,30,0,,,,,
MAE,30,30,0.4438458434978267,0.4438458434978267,0.4438458434978267,0.4438458434978267,0.0
MAPE(%),30,30,8.092176485993301,8.092176485993301,8.092176485993301,8.092176485993301,0.0
MASE_lag1,30,30,0.6208466157910322,0.6208466157910322,0.6208466157910322,0.6208466157910322,0.0
R2,30,30,-0.021841567942054718,-0.021841567942054718,-0.021841567942054718,-0.021841567942054718,0.0
RMSSE,30,30,0.46843313489516364,0.46843313489516364,0.46843313489516364,0.46843313489516364,0.0
SMAPE(%),30,30,8.140555892029733,8.140555892029733,8.140555892029733,8.140555892029733,0.0
nMAE,30,30,0.08128021058724287,0.08128021058724287,0.08128021058724287,0.08128021058724287,0.0
nRMSE,30,30,0.09182641934576466,0.09182641934576466,0.09182641934576466,0.09182641934576466,0.0
