category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,260424_020320/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020350/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020421/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020456/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020530/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020606/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020640/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020714/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020747/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020822/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
30,260424_020857/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
