category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
90,260426_040005/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040048/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040128/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040209/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040251/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040332/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040411/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040452/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040534/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040614/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040655/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040737/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040816/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040857/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_040937/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041018/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041057/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041136/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041218/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041257/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041340/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041458/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041552/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041651/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041731/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041814/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041901/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_041951/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_042032/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
90,260426_042115/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
