category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,Prophet-260420_080650/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_080945/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_081238/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_081529/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_081822/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_082113/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_082407/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_082657/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_082952/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_083243/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_083537/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_083825/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_084106/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_084343/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_084623/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_084901/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_085141/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_085420/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
30,Prophet-260420_085700/30/forecast_Wh_metrics_30d.json,[0.6876218290371617],[11.926647742398462],[0.961837745595227],[-1.8505189418478416],[0.7823800907460828],[13.030531498704093],[0.12592220449350516],[0.15336908717336117]
