column,records,values_count,min,median,max,mean,std
category,30,30,60.0,60.0,60.0,60.0,0.0
file,30,0,,,,,
MAE,30,30,0.6589448333333334,0.6589448333333334,0.6589448333333334,0.6589448333333334,0.0
MAPE(%),30,30,11.794383340972402,11.794383340972402,11.794383340972402,11.794383340972402,0.0
MASE_lag1,30,30,0.8965434769122672,0.8965434769122672,0.8965434769122672,0.8965434769122672,0.0
R2,30,30,-1.5523251219932592,-1.5523251219932592,-1.5523251219932592,-1.5523251219932592,0.0
RMSSE,30,30,0.7306372566732405,0.7306372566732405,0.7306372566732405,0.7306372566732405,0.0
SMAPE(%),30,30,12.778775137100643,12.778775137100643,12.778775137100643,12.778775137100643,0.0
nMAE,30,30,0.1238129450037232,0.1238129450037232,0.1238129450037232,0.1238129450037232,0.0
nRMSE,30,30,0.15233722672088001,0.15233722672088001,0.15233722672088001,0.15233722672088001,0.0
