category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
90,260426_050619/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_050845/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_051058/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_051311/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_051529/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_051748/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_052007/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_052228/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_052453/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_052747/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_053055/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_053404/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_053716/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_054028/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_054325/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_054614/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_054854/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_055138/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_055422/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_055708/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_055941/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_060218/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
90,260426_060425/90/forecast_Wh_metrics_90d.json,[0.5419614640121072],[10.329533858942073],[0.7068505648919658],[-0.3638502403117361],[0.566956818677255],[10.292115346325346],[0.10262381284354417],[0.12421944014101585]
