category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260428_075336/120/forecast_Wh_metrics_120d.json,[4.032116140007365],[74.95320105755881],[4.941237113697977],[3.743443605876533],[-51.054009015380295],[3.8807090623322424],[115.09486193830712],[],[],[0.7375817709880723],[0.8646360351782785]
30,260428_075336/30/forecast_Wh_metrics_30d.json,[0.9318314586881684],[16.40923937458887],[1.3034354519465114],[1.253276379969463],[-3.633531705978486],[0.997497680175683],[18.3151693526595],[],[],[0.17064361039659687],[0.19553834571659673]
60,260428_075336/60/forecast_Wh_metrics_60d.json,[0.6417507355146008],[11.502933990717661],[0.8731496274411412],[0.8594856737122474],[-1.3920493337526958],[0.7073247953222987],[12.40217720234139],[],[],[0.12058224680270631],[0.14747659899104004]
90,260428_075336/90/forecast_Wh_metrics_90d.json,[0.6566567785805207],[13.357034440158088],[0.8564413629036373],[0.9835292167868642],[-0.9744931871898228],[0.6821728964101316],[12.187501181563047],[],[],[0.12434209223773621],[0.1494631204350683]
120,260428_091749/120/forecast_Wh_metrics_120d.json,[1.0302583203485498],[20.378433953006432],[1.262550599346847],[0.956498718735525],[-2.3523986102681236],[0.9848312464066536],[17.78715614716316],"[""2025-10-31T00:00:00""]",[6.54126],[0.18846177295292196],[0.21942396879939804]
30,260428_091749/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_091749/60/forecast_Wh_metrics_60d.json,[1.090090612564546],[19.760278828846587],[1.4831493905099913],[1.4599395258910755],[-4.614058514210937],[1.0836082025996179],[22.321994431238085],"[""2025-12-30T00:00:00""]",[4.57906],[0.2048234119687749],[0.2259313591366016]
90,260428_091749/90/forecast_Wh_metrics_90d.json,[0.656716687446053],[13.358166023772993],[0.8565194987458612],[0.9836189472541609],[-0.9747070454925948],[0.6822098386464165],[12.188521354672549],"[""2025-11-30T00:00:00""]",[5.85374],[0.12435343635832836],[0.14947121442698744]
120,260428_105300/120/forecast_Wh_metrics_120d.json,[1.261944316508152],[22.697785459490508],[1.5464748225577942],[1.171597547930761],[-4.138482831916913],[1.2192743798991357],[26.840527339609377],"[""2025-10-31T00:00:00""]",[6.54126],[0.2308433317738499],[0.2716587481043654]
30,260428_105300/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_105300/60/forecast_Wh_metrics_60d.json,[1.34152519975],[24.346853394132324],[1.8252448552713267],[1.796681524929632],[-7.968688031304165],[1.3696142794308102],[28.70444138319423],"[""2025-12-30T00:00:00""]",[4.57906],[0.25206690662939485],[0.2855633751224331]
90,260428_105300/90/forecast_Wh_metrics_90d.json,[0.5458537049179705],[10.938049534427657],[0.7119270008854733],[0.8175702808378886],[-0.33899200358780646],[0.5617662348981133],[10.27018853935228],"[""2025-11-30T00:00:00""]",[5.85374],[0.10336083314625776],[0.12308219054843784]
120,260428_114849/120/forecast_Wh_metrics_120d.json,[0.7009017364010096],[14.050201286550415],[0.8589340070332645],[0.650721862260973],[-0.7313277894430625],[0.7077398395768542],[12.662922969970897],"[""2025-10-31T00:00:00""]",[6.54126],[0.12821365408942],[0.15768699972104522]
30,260428_114849/30/forecast_Wh_metrics_30d.json,[0.4742300018499385],[8.234100577440941],[0.663347637627592],[0.6378205569793876],[-0.5613188604151449],[0.5790307496951832],[8.724871802556676],"[""2026-01-29T00:00:00""]",[4.72749],[0.08684437396863968],[0.11350674509287652]
60,260428_114849/60/forecast_Wh_metrics_60d.json,[1.8836356666666665],[34.46729847129469],[2.5628264831921275],[2.522720708212705],[-16.675788118995122],[1.9227517261448124],[44.127228134484426],"[""2025-12-30T00:00:00""]",[4.57906],[0.35392716871956365],[0.4008920472620806]
90,260428_114849/90/forecast_Wh_metrics_90d.json,[0.8209635440852209],[16.680663743145768],[1.0707376509695623],[1.2296250611622905],[-1.9067465738044302],[0.8276947969961733],[14.921241073208332],"[""2025-11-30T00:00:00""]",[5.85374],[0.15545461198638344],[0.18134676381593212]
120,260428_124736/120/forecast_Wh_metrics_120d.json,[1.0285880393793325],[18.09742143183171],[1.2605037202320544],[0.9549480187067748],[-2.283968635136759],[0.9747281163347196],[20.45694646918452],"[""2025-10-31T00:00:00""]",[6.54126],[0.18815623393754013],[0.21717295482541113]
30,260428_124736/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_124736/60/forecast_Wh_metrics_60d.json,[1.1143176856593113],[20.093718700596153],[1.516112126158001],[1.4923864263597333],[-5.689498917060682],[1.1828525495369613],[23.228306245301916],"[""2025-12-30T00:00:00""]",[4.57906],[0.2093755764550028],[0.24662371836421373]
90,260428_124736/90/forecast_Wh_metrics_90d.json,[0.6566712167932734],[13.357307155136652],[0.8564601938713683],[0.9835508420933312],[-0.9745445404143129],[0.6821817674334254],[12.187747136518963],"[""2025-11-30T00:00:00""]",[5.85374],[0.12434482620415581],[0.14946506406377286]
120,260428_134552/120/forecast_Wh_metrics_120d.json,[0.809472042741383],[14.496216277428974],[0.9919836535480674],[0.7515192611814279],[-1.3155525209326648],[0.818486105586415],[15.946689372831447],"[""2025-10-31T00:00:00""]",[6.54126],[0.14807406387094574],[0.1823616689155863]
30,260428_134552/30/forecast_Wh_metrics_30d.json,[0.7565362174988807],[13.182466281228686],[1.058234423591776],[1.0175112281759524],[-2.27815572564593],[0.8390167189241834],[14.472143705459887],"[""2026-01-29T00:00:00""]",[4.72749],[0.13854229790818418],[0.16447150154585502]
60,260428_134552/60/forecast_Wh_metrics_60d.json,[1.731243364550995],[31.586082626628638],[2.355485416865965],[2.318624330594345],[-14.734230997856761],[1.814080593274001],[40.096639807493766],"[""2025-12-30T00:00:00""]",[4.57906],[0.32529330019768427],[0.3782342114414261]
90,260428_134552/90/forecast_Wh_metrics_90d.json,[0.6567883445087137],[13.359519512230486],[0.8566129571162133],[0.9837262739688386],[-0.9749655306606613],[0.6822544871310879],[12.189740290311036],"[""2025-11-30T00:00:00""]",[5.85374],[0.12436700507395801],[0.14948099684707009]
120,260428_150256/120/forecast_Wh_metrics_120d.json,[47.2595659200591],[894.7062135286925],[57.915177289765666],[43.87609724446643],[-10438.375792869534],[54.95677749582066],[99.84688422114245],"[""2025-10-31T00:00:00""]",[6.54126],[8.645037274988084],[12.244569081817206]
30,260428_150256/30/forecast_Wh_metrics_30d.json,[0.7200437946627862],[12.515443715557453],[1.007189229518858],[0.9684303657926184],[-2.036572642197603],[0.8075095408029872],[13.69762064560747],"[""2026-01-29T00:00:00""]",[4.72749],[0.13185954564991956],[0.15829518493834996]
60,260428_150256/60/forecast_Wh_metrics_60d.json,[1.34152519975],[24.346853394132324],[1.8252448552713267],[1.796681524929632],[-7.968688031304165],[1.3696142794308102],[28.70444138319423],"[""2025-12-30T00:00:00""]",[4.57906],[0.25206690662939485],[0.2855633751224331]
90,260428_150256/90/forecast_Wh_metrics_90d.json,[0.6486998523726529],[11.698724529378358],[0.8460635811639573],[0.9716114697133137],[-1.0341934948862894],[0.6924091066466941],[12.602327487468386],"[""2025-11-30T00:00:00""]",[5.85374],[0.12283539820100323],[0.1517058596752773]
120,260428_155809/120/forecast_Wh_metrics_120d.json,[2.3550059523809486],[43.226432010190834],[2.8859889970488646],[2.1864032850565494],[-16.67806676880852],[2.261524923161228],[62.69195324285195],"[""2025-10-31T00:00:00""]",[6.54126],[0.4307935090980338],[0.5038759442182518]
30,260428_155809/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_155809/60/forecast_Wh_metrics_60d.json,[0.655629682688298],[11.751930187816598],[0.8920329677839796],[0.8780735079006048],[-1.4861731284385806],[0.7211066497587802],[12.696006094331377],"[""2025-12-30T00:00:00""]",[4.57906],[0.12319004222988023],[0.15035010354442663]
90,260428_155809/90/forecast_Wh_metrics_90d.json,[2.080093390413044],[38.811977974653345],[2.7129515393158252],[3.115528065573162],[-17.071685085978153],[2.0637921945297557],[51.730556792903236],"[""2025-11-30T00:00:00""]",[5.85374],[0.39387876993053644],[0.4521739619782607]
120,260428_164915/120/forecast_Wh_metrics_120d.json,[2.855621833333333],[52.50090932326309],[3.4994787093427204],[2.6511784188769827],[-27.552158479818704],[2.874110531663924],[91.0785615394148],"[""2025-10-31T00:00:00""]",[6.54126],[0.5223695290429701],[0.6403622366033668]
