category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260428_075336/90/forecast_Wh_metrics_90d.json,[0.6566567785805207],[13.357034440158088],[0.8564413629036373],[0.9835292167868642],[-0.9744931871898228],[0.6821728964101316],[12.187501181563047],[],[],[0.12434209223773621],[0.1494631204350683]
90,260428_091749/90/forecast_Wh_metrics_90d.json,[0.656716687446053],[13.358166023772993],[0.8565194987458612],[0.9836189472541609],[-0.9747070454925948],[0.6822098386464165],[12.188521354672549],"[""2025-11-30T00:00:00""]",[5.85374],[0.12435343635832836],[0.14947121442698744]
90,260428_105300/90/forecast_Wh_metrics_90d.json,[0.5458537049179705],[10.938049534427657],[0.7119270008854733],[0.8175702808378886],[-0.33899200358780646],[0.5617662348981133],[10.27018853935228],"[""2025-11-30T00:00:00""]",[5.85374],[0.10336083314625776],[0.12308219054843784]
90,260428_114849/90/forecast_Wh_metrics_90d.json,[0.8209635440852209],[16.680663743145768],[1.0707376509695623],[1.2296250611622905],[-1.9067465738044302],[0.8276947969961733],[14.921241073208332],"[""2025-11-30T00:00:00""]",[5.85374],[0.15545461198638344],[0.18134676381593212]
90,260428_124736/90/forecast_Wh_metrics_90d.json,[0.6566712167932734],[13.357307155136652],[0.8564601938713683],[0.9835508420933312],[-0.9745445404143129],[0.6821817674334254],[12.187747136518963],"[""2025-11-30T00:00:00""]",[5.85374],[0.12434482620415581],[0.14946506406377286]
90,260428_134552/90/forecast_Wh_metrics_90d.json,[0.6567883445087137],[13.359519512230486],[0.8566129571162133],[0.9837262739688386],[-0.9749655306606613],[0.6822544871310879],[12.189740290311036],"[""2025-11-30T00:00:00""]",[5.85374],[0.12436700507395801],[0.14948099684707009]
90,260428_150256/90/forecast_Wh_metrics_90d.json,[0.6486998523726529],[11.698724529378358],[0.8460635811639573],[0.9716114697133137],[-1.0341934948862894],[0.6924091066466941],[12.602327487468386],"[""2025-11-30T00:00:00""]",[5.85374],[0.12283539820100323],[0.1517058596752773]
90,260428_155809/90/forecast_Wh_metrics_90d.json,[2.080093390413044],[38.811977974653345],[2.7129515393158252],[3.115528065573162],[-17.071685085978153],[2.0637921945297557],[51.730556792903236],"[""2025-11-30T00:00:00""]",[5.85374],[0.39387876993053644],[0.4521739619782607]
90,260428_164915/90/forecast_Wh_metrics_90d.json,[0.8724864436794588],[17.69143846835593],[1.13793613850307],[1.3067951730646614],[-2.211561915423077],[0.8700110930930117],[15.764571916618204],"[""2025-11-30T00:00:00""]",[5.85374],[0.1652107971696858],[0.19061820466790824]
90,260428_174359/90/forecast_Wh_metrics_90d.json,[0.6566567785805207],[13.357034440158088],[0.8564413629036373],[0.9835292167868642],[-0.9744931871898228],[0.6821728964101316],[12.187501181563047],"[""2025-11-30T00:00:00""]",[5.85374],[0.12434209223773621],[0.1494631204350683]
90,260428_184507/90/forecast_Wh_metrics_90d.json,[1.366605739812243],[27.28955805589086],[1.782388792036526],[2.0468785471756954],[-5.917593862781886],[1.2768626131048166],[23.40263257601479],"[""2025-11-30T00:00:00""]",[5.85374],[0.258775394536671],[0.2797587994565872]
90,260428_193916/90/forecast_Wh_metrics_90d.json,[0.4792362850822159],[9.215121746929752],[0.6250415598174781],[0.717791856411882],[-0.005651250951816733],[0.4868445802635134],[9.06766828490135],"[""2025-11-30T00:00:00""]",[5.85374],[0.0907464055913282],[0.10666696158115653]
90,260428_203538/90/forecast_Wh_metrics_90d.json,[0.6676535555555556],[13.58717491936076],[0.870783855004922],[1.0],[-1.0394092177617562],[0.693296215481206],[12.373998629257342],"[""2025-11-30T00:00:00""]",[5.85374],[0.1264244011417932],[0.15190022397099967]
90,260428_213659/90/forecast_Wh_metrics_90d.json,[0.4874493322372105],[9.207751735656561],[0.6357533860385073],[0.7300932170302052],[-0.06411274921337862],[0.5007955530966877],[9.230438573235311],"[""2025-11-30T00:00:00""]",[5.85374],[0.09230159774072896],[0.10972360007225462]
90,260428_224533/90/forecast_Wh_metrics_90d.json,[3.8288192010222466],[73.8560085065186],[4.993718547950709],[5.73473947552976],[-55.07039457468112],[3.63524299885492],[51.51336797709347],"[""2025-11-30T00:00:00""]",[5.85374],[0.7250110038980512],[0.7964766190621733]
90,260429_011522/90/forecast_Wh_metrics_90d.json,[4.904298975635338],[92.81174152665429],[6.3964077365646155],[7.345574564572583],[-76.87378123807335],[4.28412636122759],[174.60955127399228],"[""2025-11-30T00:00:00""]",[5.85374],[0.9286598653684772],[0.9386460494939419]
90,260429_035136/90/forecast_Wh_metrics_90d.json,[0.6320121677100914],[12.854260972996142],[0.8242987507954883],[0.9466169429505892],[-0.8432855832119963],[0.6591176686882014],[11.76608753874813],"[""2025-11-30T00:00:00""]",[5.85374],[0.11967548012320325],[0.1444117525255625]
90,260429_051228/90/forecast_Wh_metrics_90d.json,[0.5676311355915261],[11.413237992233324],[0.7403301073712041],[0.8501881415417601],[-0.4635565542392224],[0.5873154086554747],[10.651755978773782],"[""2025-11-30T00:00:00""]",[5.85374],[0.10748452665227114],[0.12867997852038504]
90,260429_061457/90/forecast_Wh_metrics_90d.json,[0.49220510007327356],[9.542506153860273],[0.6419560727692767],[0.7372163242113028],[-0.06372063286561569],[0.5007032751792826],[9.308387651100345],"[""2025-11-30T00:00:00""]",[5.85374],[0.09320213230036802],[0.10970338211056899]
90,260429_072441/90/forecast_Wh_metrics_90d.json,[0.7540539026846408],[15.327074439572186],[0.9834710813677385],[1.1294089523078947],[-1.5039114554420352],[0.7682032215406851],[13.82119870180377],"[""2025-11-30T00:00:00""]",[5.85374],[0.14278485043970565],[0.16831224345611162]
90,260429_081941/90/forecast_Wh_metrics_90d.json,[0.49652992451022915],[9.095905015960712],[0.6475967036984387],[0.7436939717891052],[-0.15851587532609113],[0.5225377070890751],[9.3945364215007],"[""2025-11-30T00:00:00""]",[5.85374],[0.09402106501619928],[0.11448727537771308]
90,260429_091656/90/forecast_Wh_metrics_90d.json,[0.5586549394528544],[10.69633570913606],[0.7286229478543064],[0.8367437495154155],[-0.5566169549528954],[0.605699923528102],[10.734003024819232],"[""2025-11-30T00:00:00""]",[5.85374],[0.10578482744162503],[0.13270799982555245]
90,260429_102113/90/forecast_Wh_metrics_90d.json,[0.656716687446053],[13.358166023772993],[0.8565194987458612],[0.9836189472541609],[-0.9747070454925948],[0.6822098386464165],[12.188521354672549],"[""2025-11-30T00:00:00""]",[5.85374],[0.12435343635832836],[0.14947121442698744]
90,260429_112948/90/forecast_Wh_metrics_90d.json,[0.48739639222577147],[8.973715612237209],[0.6356843392898436],[0.7300139243925813],[-0.1214347506249287],[0.5141071517965295],[9.225494455261332],"[""2025-11-30T00:00:00""]",[5.85374],[0.0922915732165024],[0.1126401525916054]
90,260429_122351/90/forecast_Wh_metrics_90d.json,[0.47721715805333176],[9.093097670927836],[0.6224081233543212],[0.7147676427129016],[-0.0001297149610433035],[0.4855062287062034],[9.029900041553782],"[""2025-11-30T00:00:00""]",[5.85374],[0.09036407118550979],[0.10637373064066132]
90,260429_132501/90/forecast_Wh_metrics_90d.json,[0.656716687446053],[13.358166023772997],[0.8565194987458612],[0.9836189472541609],[-0.9747070454925948],[0.6822098386464165],[12.188521354672549],"[""2025-11-30T00:00:00""]",[5.85374],[0.12435343635832836],[0.14947121442698744]
