category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260428_084349/120/forecast_Wh_metrics_120d.json,[0.6164699554210934],[11.135786396892703],[0.7554653976809508],[0.5723348318116324],[-0.2518225823374338],[0.6018044353579415],[11.558989028202177],"[""2025-10-31T00:00:00""]",[6.54126],[0.11276882552286738],[0.13408420795860337]
30,260428_084349/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_084349/60/forecast_Wh_metrics_60d.json,[0.6779078681103601],[12.036282842577016],[0.922344096739274],[0.9079102967766056],[-1.6647819748475219],[0.7465598974023744],[13.13753396941954],"[""2025-12-30T00:00:00""]",[4.57906],[0.12737601897165277],[0.15565708333727205]
90,260428_084349/90/forecast_Wh_metrics_90d.json,[0.49220510007327356],[9.542506153860273],[0.6419560727692767],[0.7372163242113028],[-0.06372063286561569],[0.5007032751792826],[9.308387651100345],"[""2025-11-30T00:00:00""]",[5.85374],[0.09320213230036802],[0.10970338211056899]
120,260428_103931/120/forecast_Wh_metrics_120d.json,[2.53378781563087],[49.00295695104025],[3.1050807958146054],[2.35238556324271],[-17.76140447062814],[2.3297894080792902],[37.38159931174023],"[""2025-10-31T00:00:00""]",[6.54126],[0.46349748853156864],[0.5190855187148177]
30,260428_103931/30/forecast_Wh_metrics_30d.json,[0.7198128333333325],[12.629838631602642],[1.006866163387068],[0.9681197319583645],[-1.9233539132634965],[0.7923125275851565],[13.786507184970759],"[""2026-01-29T00:00:00""]",[4.72749],[0.13181725036706288],[0.15531613156959975]
60,260428_103931/60/forecast_Wh_metrics_60d.json,[1.9822158220676254],[36.33195025939306],[2.696952119826445],[2.6547474073508215],[-18.19453885786108],[2.0036536773890825],[47.00266829706246],"[""2025-12-30T00:00:00""]",[4.57906],[0.3724499626496333],[0.41776003308718856]
90,260428_103931/90/forecast_Wh_metrics_90d.json,[0.6129391724815308],[12.431956305440861],[0.7994228908926732],[0.9180497390918605],[-0.7236846675447874],[0.6373757702642999],[11.439796646308455],"[""2025-11-30T00:00:00""]",[5.85374],[0.11606388848306796],[0.1396481332147992]
120,260428_114208/120/forecast_Wh_metrics_120d.json,[0.6314183323189851],[11.340809165392645],[0.7737841841822923],[0.586213004952881],[-0.3168931497154259],[0.617247390534499],[11.862463802487579],"[""2025-10-31T00:00:00""]",[6.54126],[0.11550328304415397],[0.1375249543069704]
30,260428_114208/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
