category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,260428_084349/60/forecast_Wh_metrics_60d.json,[0.6779078681103601],[12.036282842577016],[0.922344096739274],[0.9079102967766056],[-1.6647819748475219],[0.7465598974023744],[13.13753396941954],"[""2025-12-30T00:00:00""]",[4.57906],[0.12737601897165277],[0.15565708333727205]
60,260428_103931/60/forecast_Wh_metrics_60d.json,[1.9822158220676254],[36.33195025939306],[2.696952119826445],[2.6547474073508215],[-18.19453885786108],[2.0036536773890825],[47.00266829706246],"[""2025-12-30T00:00:00""]",[4.57906],[0.3724499626496333],[0.41776003308718856]
60,260428_114208/60/forecast_Wh_metrics_60d.json,[1.4836356666666666],[27.085408899450837],[2.0185967197522845],[1.9870076182865664],[-9.770424790035378],[1.5008947297055262],[32.52426812587573],"[""2025-12-30T00:00:00""]",[4.57906],[0.27876886183830085],[0.3129352337771344]
60,260428_124108/60/forecast_Wh_metrics_60d.json,[1.443429438298765],[26.27892193179037],[1.963893154368606],[1.9331601112034549],[-9.070884262817415],[1.4513348335247267],[31.245323432901895],"[""2025-12-30T00:00:00""]",[4.57906],[0.2712142817127686],[0.3026020389231876]
60,260428_134119/60/forecast_Wh_metrics_60d.json,[1.34152519975],[24.346853394132324],[1.8252448552713267],[1.796681524929632],[-7.968688031304165],[1.3696142794308102],[28.70444138319423],"[""2025-12-30T00:00:00""]",[4.57906],[0.25206690662939485],[0.2855633751224331]
60,260428_145315/60/forecast_Wh_metrics_60d.json,[0.9357818651001589],[16.872446696773576],[1.2732008576868865],[1.253276486124128],[-3.6346263769696963],[0.9845577178304518],[18.879631163833206],"[""2025-12-30T00:00:00""]",[4.57906],[0.17582945147779566],[0.20527942000089758]
60,260428_154857/60/forecast_Wh_metrics_60d.json,[1.8089184275430834],[33.11638522528677],[2.461168119759363],[2.422653200608593],[-14.655870800210348],[1.8095576794038186],[41.43855351225287],"[""2025-12-30T00:00:00""]",[4.57906],[0.33988811575113625],[0.3772911878693485]
60,260428_164217/60/forecast_Wh_metrics_60d.json,[0.8125598933872663],[16.215948596470646],[1.10554819639714],[1.0882474280913654],[-2.5143984149449037],[0.8573522927784869],[14.571172907004334],"[""2025-12-30T00:00:00""]",[4.57906],[0.152676564566516],[0.17875720052840566]
60,260428_174002/60/forecast_Wh_metrics_60d.json,[0.6261581521701777],[11.252097861304081],[0.8519347575787627],[0.838602796203818],[-1.2712202580666077],[0.6892288420648421],[12.070140359778971],"[""2025-12-30T00:00:00""]",[4.57906],[0.11765246639252674],[0.1437036086200542]
60,260428_183500/60/forecast_Wh_metrics_60d.json,[0.5972899307300426],[10.617899372327907],[0.8126573942655283],[0.799940085932901],[-1.17290984546535],[0.6741470994242109],[11.46212526723152],"[""2025-12-30T00:00:00""]",[4.57906],[0.11222824977724193],[0.14055907851704127]
