column,records,values_count,min,median,max,mean,std
category,30,30,60.0,60.0,60.0,60.0,0.0
file,30,0,,,,,
MAE,30,30,0.7406102940109065,0.7406102940109065,0.7406102940109065,0.7406102940109065,0.0
MAPE(%),30,30,13.194403919890005,13.194403919890005,13.194403919890005,13.194403919890005,0.0
MASE_lag1,30,30,1.0076554127766706,1.0076554127766706,1.0076554127766706,1.0076554127766706,0.0
R2,30,30,-2.1144573084692793,-2.1144573084692793,-2.1144573084692793,-2.1144573084692793,0.0
RMSSE,30,30,0.8070956516455999,0.8070956516455999,0.8070956516455999,0.8070956516455999,0.0
SMAPE(%),30,30,14.506477485359717,14.506477485359717,14.506477485359717,14.506477485359717,0.0
nMAE,30,30,0.13915753939173506,0.13915753939173506,0.13915753939173506,0.13915753939173506,0.0
nRMSE,30,30,0.16827873496349613,0.16827873496349613,0.16827873496349613,0.16827873496349613,0.0
