category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
90,260426_032512/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_032719/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_034639/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_034828/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_035029/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_035613/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_035822/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_040034/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_040236/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_040842/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_041041/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_041241/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_041717/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_041935/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_042138/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_042338/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_042548/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
90,260426_042753/90/forecast_Wh_metrics_90d.json,[0.5916340016946874],[11.972248136520577],[0.7716357270336138],[-0.6216209484398991],[0.6182175270642492],[11.068766015595068],[0.11202962035772406],[0.13545058912326152]
