category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260424_021506/120/forecast_Wh_metrics_120d.json,[0.6077923032552943],[10.974174296484097],[0.7448311958245207],[-0.233895923220101],[0.5974798427009878],[11.37128664643186],[0.11118145109459586],[0.1331206730507785]
90,260424_021506/90/forecast_Wh_metrics_90d.json,[0.553613341590944],[10.470604589389293],[0.7220474687228788],[-0.4249734925231954],[0.5795221413601059],[10.5320324277617],[0.10483016916835423],[0.12697248463653232]
120,260424_022154/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_022154/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_022154/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_022154/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_022314/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_022314/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_022314/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_022314/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_022438/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_022438/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_022438/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_022438/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
