category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,260424_022154/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_022314/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_022438/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_022601/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_022723/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_022846/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_022959/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_023109/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_023220/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_023332/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_023444/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
30,260424_023556/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
