category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,260426_031839/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_031839/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_031839/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_032356/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_032356/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_032356/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_032944/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_032944/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_032944/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_034413/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_034413/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_034413/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_034826/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_034826/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_034826/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_035411/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_035411/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_035411/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_040017/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_040017/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_040017/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_040701/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_040701/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_040701/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_041308/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_041308/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_041308/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_042144/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_042144/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_042144/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_042754/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_042754/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_042754/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_043300/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_043300/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_043300/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_043758/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_043758/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_043758/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_050614/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_050614/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_050614/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_050859/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_050859/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_050859/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_051129/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_051129/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_051129/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_051350/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_051350/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_051350/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_051623/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_051623/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_051623/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_051853/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_051853/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_051853/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_052136/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_052136/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_052136/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_052417/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_052417/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
90,260426_052417/90/forecast_Wh_metrics_90d.json,[1.2309638746113356],[24.410911500320378],[1.6054785587323377],[-4.909951315114498],[1.1802081033447105],[21.151344677675652],[0.23309075399954193],[0.2585819325524792]
30,260426_052752/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
60,260426_052752/60/forecast_Wh_metrics_60d.json,[0.46460851260121666],[8.470393007914675],[0.6321344522627438],[-0.20987072068516244],[0.5030409032077426],[8.759068620617526],[0.0872979729243233],[0.10488358678936878]
