category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,260426_031839/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_032356/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_032944/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_034413/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_034826/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_035411/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_040017/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_040701/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_041308/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_042144/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_042754/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_043300/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_043758/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_050614/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_050859/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_051129/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_051350/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_051623/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_051853/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_052136/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_052417/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_052752/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_053250/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_053759/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_054212/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_054614/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_054926/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_055305/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_055653/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
30,260426_060008/30/forecast_Wh_metrics_30d.json,[0.46126708927917476],[8.189965462671434],[0.645215260095497],[-0.2409162332419339],[0.5162107658315512],[8.464094275084717],[0.08447051313607597],[0.10119221447614923]
