column,records,values_count,min,median,max,mean,std
category,30,30,60.0,60.0,60.0,60.0,0.0
file,30,0,,,,,
MAE,30,30,0.46460851260121666,0.46460851260121666,0.46460851260121666,0.46460851260121666,0.0
MAPE(%),30,30,8.470393007914675,8.470393007914675,8.470393007914675,8.470393007914675,0.0
MASE_lag1,30,30,0.6321344522627438,0.6321344522627438,0.6321344522627438,0.6321344522627438,0.0
R2,30,30,-0.20987072068516244,-0.20987072068516244,-0.20987072068516244,-0.20987072068516244,0.0
RMSSE,30,30,0.5030409032077426,0.5030409032077426,0.5030409032077426,0.5030409032077426,0.0
SMAPE(%),30,30,8.759068620617526,8.759068620617526,8.759068620617526,8.759068620617526,0.0
nMAE,30,30,0.0872979729243233,0.0872979729243233,0.0872979729243233,0.0872979729243233,0.0
nRMSE,30,30,0.10488358678936878,0.10488358678936878,0.10488358678936878,0.10488358678936878,0.0
