column,records,values_count,min,median,max,mean,std
category,25,25,120.0,120.0,120.0,120.0,0.0
file,25,0,,,,,
MAE,25,25,0.5999936099687081,1.1282932078156647,1.1282932078156647,1.0250651856471755,0.18730966606331065
MAPE(%),25,25,10.840541375394967,20.21119308030973,20.21119308030973,18.581867698962014,2.96824994630934
MASE_lag1,25,25,0.7352741316507798,1.3826894067545197,1.3826894067545197,1.2561865688894267,0.229542364745653
R2,25,25,-3.182052971342018,-3.182052971342018,-0.20976848662787395,-2.580760696120425,1.0875420429506084
RMSSE,25,25,0.5916094833258851,1.099964725362731,1.099964725362731,1.0020736484002284,0.17835109475169372
SMAPE(%),25,25,11.248028903823732,23.43946685793297,23.43946685793297,20.92341205287996,4.563726056960774
nMAE,25,25,0.10975486172911629,0.206394973140077,0.206394973140077,0.1875118098672822,0.03426394241161632
nRMSE,25,25,0.13181273571931826,0.24507612492909187,0.24507612492909187,0.2232656384162682,0.03973726990580762
