category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260424_062647/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260424_070824/120/forecast_Wh_metrics_120d.json,[0.6846822251121715],[13.614656058758628],[0.8390574835494187],[-0.5850891331240782],[0.6771904698465342],[12.40242235123116],[0.1252466721262069],[0.1508804894940341]
120,260424_075717/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260424_084853/120/forecast_Wh_metrics_120d.json,[1.1282932078156498],[20.21119308030946],[1.3826894067545015],[-3.182052971341915],[1.0999647253627174],[23.4394668579326],[0.20639497314007427],[0.24507612492908887]
120,260424_094731/120/forecast_Wh_metrics_120d.json,[1.1282932078156498],[20.21119308030946],[1.3826894067545015],[-3.182052971341915],[1.0999647253627174],[23.4394668579326],[0.20639497314007427],[0.24507612492908887]
120,260424_103644/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260424_112621/120/forecast_Wh_metrics_120d.json,[1.1282932078156498],[20.21119308030946],[1.3826894067545015],[-3.182052971341915],[1.0999647253627174],[23.4394668579326],[0.20639497314007427],[0.24507612492908887]
120,260424_122046/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260424_131923/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260424_141522/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260424_151404/120/forecast_Wh_metrics_120d.json,[1.1282932078156498],[20.21119308030946],[1.3826894067545015],[-3.182052971341915],[1.0999647253627174],[23.4394668579326],[0.20639497314007427],[0.24507612492908887]
120,260424_163607/120/forecast_Wh_metrics_120d.json,[0.6846822251121715],[13.614656058758628],[0.8390574835494187],[-0.5850891331240782],[0.6771904698465342],[12.40242235123116],[0.1252466721262069],[0.1508804894940341]
120,260424_173353/120/forecast_Wh_metrics_120d.json,[0.5999936099687081],[10.840541375394967],[0.7352741316507798],[-0.20976848662787395],[0.5916094833258851],[11.248028903823732],[0.10975486172911629],[0.13181273571931826]
120,260424_183257/120/forecast_Wh_metrics_120d.json,[1.1282932078156498],[20.21119308030946],[1.3826894067545015],[-3.182052971341915],[1.0999647253627174],[23.4394668579326],[0.20639497314007427],[0.24507612492908887]
120,260424_193054/120/forecast_Wh_metrics_120d.json,[0.6846822251121715],[13.614656058758628],[0.8390574835494187],[-0.5850891331240782],[0.6771904698465342],[12.40242235123116],[0.1252466721262069],[0.1508804894940341]
120,260424_203014/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260424_213133/120/forecast_Wh_metrics_120d.json,[0.6846822251121715],[13.614656058758628],[0.8390574835494187],[-0.5850891331240782],[0.6771904698465342],[12.40242235123116],[0.1252466721262069],[0.1508804894940341]
120,260424_224634/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260425_000203/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260425_010613/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260425_015444/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260425_025149/120/forecast_Wh_metrics_120d.json,[0.8503361822644405],[15.234858337737354],[1.0420614280514318],[-1.5098859283886155],[0.8521400654018662],[16.87771271252603],[0.15554920678666181],[0.18985989305851989]
120,260425_040545/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260425_050709/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
120,260425_063649/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
