column,records,values_count,min,median,max,mean,std
category,2,2,2.0,2.0,2.0,2.0,0.0
file,2,0,,,,,
MAE,2,2,0.3954402596919704,0.5138090292272937,0.6321777987626169,0.5138090292272937,0.11836876953532327
MAPE(%),2,2,6.415911240491458,8.414906432146466,10.413901623801475,8.414906432146466,1.9989951916550086
MASE_lag1,2,2,0.5735420238362038,0.7452227315394944,0.9169034392427851,0.7452227315394944,0.17168070770329064
R2,2,2,-23.29578087834595,-19.411982798555037,-15.528184718764123,-19.411982798555037,3.883798079790914
RMSSE,2,2,0.5148700636709301,0.5695542408275898,0.6242384179842493,0.5695542408275898,0.054684177156659575
SMAPE(%),2,2,6.812375520233571,8.910743849616374,11.009112178999175,8.910743849616374,2.0983683293828017
nMAE,2,2,0.06541062486789281,0.08499025792341477,0.10456989097893674,0.08499025792341477,0.01957963305552196
nRMSE,2,2,0.0881588917768842,0.09752221816935261,0.10688554456182103,0.09752221816935261,0.009363326392468417
