category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
2,260424_042211/2/forecast_Wh_metrics_2d.json,[0.3954402596919704],[6.415911240491458],[0.5735420238362038],[-15.528184718764123],[0.5148700636709301],[6.812375520233571],[0.06541062486789281],[0.0881588917768842]
3,260424_042211/3/forecast_Wh_metrics_3d.json,[0.6953132265600441],[11.561476207343546],[1.006760335945673],[-28.3625401394627],[0.6824281750061686],[12.292465116820257],[0.11602767165778814],[0.11805133378568321]
4,260424_042211/4/forecast_Wh_metrics_4d.json,[0.6481547005745434],[10.885457110288439],[0.9361657633128155],[-8.849154694471844],[0.6611939016713666],[11.583065492157205],[0.11014548744093831],[0.11666370895168365]
2,260424_061612/2/forecast_Wh_metrics_2d.json,[0.6321777987626169],[10.413901623801475],[0.9169034392427851],[-23.29578087834595],[0.6242384179842493],[11.009112178999175],[0.10456989097893674],[0.10688554456182103]
3,260424_061612/3/forecast_Wh_metrics_3d.json,[0.6953132265600441],[11.561476207343546],[1.006760335945673],[-28.3625401394627],[0.6824281750061686],[12.292465116820257],[0.11602767165778814],[0.11805133378568321]
4,260424_061612/4/forecast_Wh_metrics_4d.json,[0.6481547005745434],[10.885457110288439],[0.9361657633128155],[-8.849154694471844],[0.6611939016713666],[11.583065492157205],[0.11014548744093831],[0.11666370895168365]
120,260424_062647/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260424_062647/30/forecast_Wh_metrics_30d.json,[0.6489724060272315],[11.309361052690083],[0.9077753637355921],[-1.5616419589874453],[0.7416773885398585],[12.30992773462456],[0.11884444700778492],[0.14539018234603504]
60,260424_062647/60/forecast_Wh_metrics_60d.json,[12.256631220470412],[231.47366796322638],[16.67605877421502],[-593.278066522115],[11.148813929500488],[196.70857386473756],[2.3029691264964565],[2.3245179187553795]
90,260424_062647/90/forecast_Wh_metrics_90d.json,[1.159494704503424],[23.156281404936003],[1.512265246314965],[-4.288854359589958],[1.116470993904262],[20.176937534195144],[0.2195576170068463],[0.24461722167842898]
120,260424_070824/120/forecast_Wh_metrics_120d.json,[0.6846822251121715],[13.614656058758628],[0.8390574835494187],[-0.5850891331240782],[0.6771904698465342],[12.40242235123116],[0.1252466721262069],[0.1508804894940341]
30,260424_070824/30/forecast_Wh_metrics_30d.json,[0.594020159669627],[10.33701754150873],[0.8309087743982495],[-1.2827877668377492],[0.7001459694844522],[11.194267864136515],[0.10878120045130339],[0.13724882508901706]
60,260424_070824/60/forecast_Wh_metrics_60d.json,[0.5051188675232383],[9.93950315086924],[0.6872518044529335],[-0.45781651331809226],[0.5521858190165232],[9.402419107337874],[0.09490969714206876],[0.11513025859998652]
90,260424_070824/90/forecast_Wh_metrics_90d.json,[0.5599176402696744],[11.270066046016279],[0.7302698191632945],[-0.4217861174049917],[0.5788736420907101],[10.518058325041013],[0.10602392778529786],[0.1268303993603306]
120,260424_075717/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260424_075717/30/forecast_Wh_metrics_30d.json,[0.7333773732390338],[12.754767425085866],[1.025840090525485],[-2.161303151056405],[0.8239273073719381],[13.992307664673708],[0.13430128548016823],[0.16151354121030487]
60,260424_075717/60/forecast_Wh_metrics_60d.json,[0.5747985070822804],[10.371995838512003],[0.7820561388374111],[-0.9364643666151136],[0.6364123097047659],[10.986433717233384],[0.10800220647545443],[0.13269140798114543]
90,260424_075717/90/forecast_Wh_metrics_90d.json,[0.5557539651892331],[11.140864702867464],[0.7248393664871043],[-0.3941017809694163],[0.5732101626555716],[10.442992681337826],[0.10523550971395877],[0.12558953899582453]
120,260424_084853/120/forecast_Wh_metrics_120d.json,[1.1282932078156498],[20.21119308030946],[1.3826894067545015],[-3.182052971341915],[1.0999647253627174],[23.4394668579326],[0.20639497314007427],[0.24507612492908887]
30,260424_084853/30/forecast_Wh_metrics_30d.json,[0.7333773732390338],[12.754767425085866],[1.025840090525485],[-2.161303151056405],[0.8239273073719381],[13.992307664673708],[0.13430128548016823],[0.16151354121030487]
60,260424_084853/60/forecast_Wh_metrics_60d.json,[0.6359957755830634],[11.518326890771936],[0.8653195762357753],[-1.3040152991615197],[0.6941870308413169],[12.29224444576911],[0.11950091419114665],[0.14473738662804397]
90,260424_084853/90/forecast_Wh_metrics_90d.json,[0.5512757605667241],[10.756412111440214],[0.7189986902078558],[-0.45757335341244176],[0.5861136700441304],[10.384314925005818],[0.10438753349503485],[0.1284166792838659]
120,260424_094731/120/forecast_Wh_metrics_120d.json,[1.1282932078156498],[20.21119308030946],[1.3826894067545015],[-3.182052971341915],[1.0999647253627174],[23.4394668579326],[0.20639497314007427],[0.24507612492908887]
