category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260424_070652/120/forecast_Wh_metrics_120d.json,[1.3456073914875082],[23.925999936006896],[1.64900140581572],[-4.355355163373888],[1.2447385282833157],[28.13644617218312],[0.24614754347482257],[0.27733225259657196]
120,260424_075955/120/forecast_Wh_metrics_120d.json,[1.0575241666666666],[18.539323586724183],[1.2959640743275598],[-2.4940298735694935],[1.0054194911376944],[21.05379961411011],[0.19344942472596052],[0.22401110429695806]
120,260424_085223/120/forecast_Wh_metrics_120d.json,[0.7812912870509335],[14.072296090354186],[0.9574489846361125],[-1.1743691605366027],[0.7931414249185876],[15.35972547364309],[0.14291905072940814],[0.17671478226330015]
120,260424_094030/120/forecast_Wh_metrics_120d.json,[1.0732330640248595],[18.913767660553784],[1.3152148557897807],[-2.5485070278225015],[1.013227172684118],[21.503509948509432],[0.1963230017588147],[0.22575068402525064]
120,260424_103432/120/forecast_Wh_metrics_120d.json,[1.5735514407738078],[28.125347124104145],[1.9283399856260741],[-5.995052089120914],[1.4225890769761242],[33.819614419845564],[0.2878446002363062],[0.31695799902746125]
120,260424_112530/120/forecast_Wh_metrics_120d.json,[1.3456073914875357],[23.925999936007404],[1.6490014058157538],[-4.355355163374086],[1.2447385282833388],[28.13644617218382],[0.2461475434748276],[0.2773322525965771]
120,260424_122123/120/forecast_Wh_metrics_120d.json,[1.3456073914875357],[23.925999936007404],[1.6490014058157538],[-4.355355163374086],[1.2447385282833388],[28.13644617218382],[0.2461475434748276],[0.2773322525965771]
120,260424_131618/120/forecast_Wh_metrics_120d.json,[0.783416967687604],[13.9380299534235],[0.9600539423528727],[-1.059845244106624],[0.7719715404028896],[15.17461388165387],[0.14330789451121143],[0.17199805531499482]
120,260424_141332/120/forecast_Wh_metrics_120d.json,[1.3456073914875357],[23.925999936007404],[1.6490014058157538],[-4.355355163374086],[1.2447385282833388],[28.13644617218382],[0.2461475434748276],[0.2773322525965771]
120,260424_151501/120/forecast_Wh_metrics_120d.json,[1.3456073914875357],[23.925999936007404],[1.6490014058157538],[-4.355355163374086],[1.2447385282833388],[28.13644617218382],[0.2461475434748276],[0.2773322525965771]
120,260424_163924/120/forecast_Wh_metrics_120d.json,[0.7906766786514284],[14.048990830557722],[0.9689504998932772],[-1.105305959701366],[0.7804437432335269],[15.352291292321354],[0.14463588960947496],[0.1738856927923341]
120,260424_173400/120/forecast_Wh_metrics_120d.json,[0.783416967687604],[13.9380299534235],[0.9600539423528727],[-1.059845244106624],[0.7719715404028896],[15.17461388165387],[0.14330789451121143],[0.17199805531499482]
120,260424_182552/120/forecast_Wh_metrics_120d.json,[0.783416967687604],[13.9380299534235],[0.9600539423528727],[-1.059845244106624],[0.7719715404028896],[15.17461388165387],[0.14330789451121143],[0.17199805531499482]
120,260424_192434/120/forecast_Wh_metrics_120d.json,[0.5721338935907928],[10.239171577706779],[0.70113288676506],[-0.04675993251992083],[0.5503101696541393],[10.501036751196434],[0.10465857525528208],[0.12261109904541051]
120,260424_202056/120/forecast_Wh_metrics_120d.json,[1.1519296510772654],[20.97133645041555],[1.411655157398752],[-3.8002006968408235],[1.1784568662363466],[24.718748537357094],[0.21071871012467652],[0.2625644582175531]
