category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260424_070652/120/forecast_Wh_metrics_120d.json,[1.3456073914875082],[23.925999936006896],[1.64900140581572],[-4.355355163373888],[1.2447385282833157],[28.13644617218312],[0.24614754347482257],[0.27733225259657196]
30,260424_070652/30/forecast_Wh_metrics_30d.json,[0.7568467512544482],[13.182960964324177],[1.0586687947457643],[-2.448293979547432],[0.86051405216888],[14.561639181561848],[0.1385991650601847],[0.1686855995468108]
60,260424_070652/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260424_070652/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_075955/120/forecast_Wh_metrics_120d.json,[1.0575241666666666],[18.539323586724183],[1.2959640743275598],[-2.4940298735694935],[1.0054194911376944],[21.05379961411011],[0.19344942472596052],[0.22401110429695806]
30,260424_075955/30/forecast_Wh_metrics_30d.json,[0.722333158002163],[12.559245396529134],[1.0103915654253226],[-2.0606834729135612],[0.8107090740746471],[13.75431467060308],[0.13227879016253866],[0.15892238583860208]
60,260424_075955/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260424_075955/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_085223/120/forecast_Wh_metrics_120d.json,[0.7812912870509335],[14.072296090354186],[0.9574489846361125],[-1.1743691605366027],[0.7931414249185876],[15.35972547364309],[0.14291905072940814],[0.17671478226330015]
30,260424_085223/30/forecast_Wh_metrics_30d.json,[0.7706677903911702],[13.424605558653912],[1.078001510147866],[-2.3949542442064025],[0.8538327081334369],[14.76022177423001],[0.14113017213848525],[0.16737586320775097]
60,260424_085223/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260424_085223/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_094030/120/forecast_Wh_metrics_120d.json,[1.0732330640248595],[18.913767660553784],[1.3152148557897807],[-2.5485070278225015],[1.013227172684118],[21.503509948509432],[0.1963230017588147],[0.22575068402525064]
30,260424_094030/30/forecast_Wh_metrics_30d.json,[0.7568467512544482],[13.182960964324177],[1.0586687947457643],[-2.448293979547432],[0.86051405216888],[14.561639181561848],[0.1385991650601847],[0.1686855995468108]
60,260424_094030/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260424_094030/90/forecast_Wh_metrics_90d.json,[0.5235658791717148],[9.548704871773218],[0.6828582141449412],[-0.3068350869116503],[0.5549796180168333],[9.927627376314728],[0.09914049312218887],[0.12159525235196107]
120,260424_103432/120/forecast_Wh_metrics_120d.json,[1.5735514407738078],[28.125347124104145],[1.9283399856260741],[-5.995052089120914],[1.4225890769761242],[33.819614419845564],[0.2878446002363062],[0.31695799902746125]
30,260424_103432/30/forecast_Wh_metrics_30d.json,[0.7349158087177086],[12.788741900807016],[1.0279920369152966],[-2.1403407701704626],[0.8211910615855372],[14.018655822889095],[0.1345830147371015],[0.16097715803350132]
60,260424_103432/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260424_103432/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_112530/120/forecast_Wh_metrics_120d.json,[1.3456073914875357],[23.925999936007404],[1.6490014058157538],[-4.355355163374086],[1.2447385282833388],[28.13644617218382],[0.2461475434748276],[0.2773322525965771]
30,260424_112530/30/forecast_Wh_metrics_30d.json,[0.7404673357322223],[12.875312445920242],[1.0357574509885057],[-2.1977474815417835],[0.8286629229968744],[14.125797305289892],[0.135599649885162],[0.16244185860256852]
60,260424_112530/60/forecast_Wh_metrics_60d.json,[0.7003427927165273],[12.521615606442237],[0.9528684810172868],[-1.8226783722535655],[0.7683595866449969],[13.66075502802772],[0.13159144634267356],[0.16020229941031897]
90,260424_112530/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_122123/120/forecast_Wh_metrics_120d.json,[1.3456073914875357],[23.925999936007404],[1.6490014058157538],[-4.355355163374086],[1.2447385282833388],[28.13644617218382],[0.2461475434748276],[0.2773322525965771]
30,260424_122123/30/forecast_Wh_metrics_30d.json,[0.5084186666666665],[8.875656878736946],[0.711170360676216],[-0.5433753395071181],[0.5756938673806713],[9.391395773329254],[0.09310524565801018],[0.11285261981459448]
60,260424_122123/60/forecast_Wh_metrics_60d.json,[0.5526631855164388],[9.859258308221554],[0.751939386788804],[-0.921227390897962],[0.6339035753369915],[10.548978973123626],[0.10384307324755203],[0.1321683390674327]
90,260424_122123/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_131618/120/forecast_Wh_metrics_120d.json,[0.783416967687604],[13.9380299534235],[0.9600539423528727],[-1.059845244106624],[0.7719715404028896],[15.17461388165387],[0.14330789451121143],[0.17199805531499482]
30,260424_131618/30/forecast_Wh_metrics_30d.json,[0.7709502337297985],[13.445398238896846],[1.0783965887399243],[-2.3746914325846658],[0.8512808410434713],[14.777551494085259],[0.14118189517336097],[0.16687562357895042]
60,260424_131618/60/forecast_Wh_metrics_60d.json,[0.5963178395942246],[10.829070353093579],[0.8113347919433078],[-1.1213081355249979],[0.666094266140962],[11.51723747065723],[0.11204559796748602],[0.13888006984562284]
90,260424_131618/90/forecast_Wh_metrics_90d.json,[0.6042865711166002],[10.823412640733563],[0.7881377782625073],[-0.7688404853473596],[0.6456705461987589],[11.593217368722744],[0.11442546397865597],[0.14146550693486062]
120,260424_141332/120/forecast_Wh_metrics_120d.json,[1.3456073914875357],[23.925999936007404],[1.6490014058157538],[-4.355355163374086],[1.2447385282833388],[28.13644617218382],[0.2461475434748276],[0.2773322525965771]
30,260424_141332/30/forecast_Wh_metrics_30d.json,[0.7116220232103118],[12.36472783546008],[0.9954089495368964],[-1.9954612653100718],[0.8020245805616043],[13.53199227128566],[0.1303172909071913],[0.15721997436569737]
60,260424_141332/60/forecast_Wh_metrics_60d.json,[0.7905639440914326],[14.35367720715393],[1.0756210706923743],[-2.3387639548169235],[0.8356543428513222],[15.734901532037776],[0.14854361879821357],[0.174233197013333]
90,260424_141332/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_151501/120/forecast_Wh_metrics_120d.json,[1.3456073914875357],[23.925999936007404],[1.6490014058157538],[-4.355355163374086],[1.2447385282833388],[28.13644617218382],[0.2461475434748276],[0.2773322525965771]
30,260424_151501/30/forecast_Wh_metrics_30d.json,[0.642320355105255],[11.104023374663763],[0.8984705490944723],[-1.576410819042572],[0.7438123447429532],[12.087855085029204],[0.11762627608719149],[0.14580869540368646]
60,260424_151501/60/forecast_Wh_metrics_60d.json,[166.921606472339],[3166.947968318719],[227.10926600859906],[-110012.53969094419],[151.68997703658627],[185.22344618113223],[31.363863310903614],[31.6272270706858]
90,260424_151501/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_163924/120/forecast_Wh_metrics_120d.json,[0.7906766786514284],[14.048990830557722],[0.9689504998932772],[-1.105305959701366],[0.7804437432335269],[15.352291292321354],[0.14463588960947496],[0.1738856927923341]
30,260424_163924/30/forecast_Wh_metrics_30d.json,[0.7349158087177086],[12.788741900807016],[1.0279920369152966],[-2.1403407701704626],[0.8211910615855372],[14.018655822889095],[0.1345830147371015],[0.16097715803350132]
60,260424_163924/60/forecast_Wh_metrics_60d.json,[0.8158545290390312],[14.623867803540161],[1.1100307933505913],[-2.7833566917906367],[0.8895542941460521],[16.2314056956495],[0.15329561265995922],[0.1854712895491778]
90,260424_163924/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_173400/120/forecast_Wh_metrics_120d.json,[0.783416967687604],[13.9380299534235],[0.9600539423528727],[-1.059845244106624],[0.7719715404028896],[15.17461388165387],[0.14330789451121143],[0.17199805531499482]
30,260424_173400/30/forecast_Wh_metrics_30d.json,[0.7566857945367083],[13.191530180863358],[1.0584436502840966],[-2.3258657188381515],[0.8451001525993511],[14.46014070844814],[0.13856968952018583],[0.1656640301910439]
60,260424_173400/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260424_173400/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_182552/120/forecast_Wh_metrics_120d.json,[0.783416967687604],[13.9380299534235],[0.9600539423528727],[-1.059845244106624],[0.7719715404028896],[15.17461388165387],[0.14330789451121143],[0.17199805531499482]
30,260424_182552/30/forecast_Wh_metrics_30d.json,[0.642320355105255],[11.104023374663763],[0.8984705490944723],[-1.576410819042572],[0.7438123447429532],[12.087855085029204],[0.11762627608719149],[0.14580869540368646]
60,260424_182552/60/forecast_Wh_metrics_60d.json,[0.6787660488349795],[12.151153264159463],[0.9235117154711446],[-1.6585985966785306],[0.745693233032085],[13.19211930827158],[0.1275372674973041],[0.155476384576756]
90,260424_182552/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260424_192434/120/forecast_Wh_metrics_120d.json,[0.5721338935907928],[10.239171577706779],[0.70113288676506],[-0.04675993251992083],[0.5503101696541393],[10.501036751196434],[0.10465857525528208],[0.12261109904541051]
30,260424_192434/30/forecast_Wh_metrics_30d.json,[0.6396967234358654],[11.08898678372436],[0.8948006423759909],[-1.509438509672599],[0.7340812036150962],[12.04567125215938],[0.11714581797833372],[0.14390111077878712]
60,260424_192434/60/forecast_Wh_metrics_60d.json,[0.6752915804333067],[12.100511006545684],[0.9187844426803408],[-1.6618233710432384],[0.7461453440930897],[13.129103909881609],[0.12688442959134866],[0.15557064933614823]
90,260424_192434/90/forecast_Wh_metrics_90d.json,[0.5586240989391128],[10.060840740058524],[0.7285827242664549],[-0.5133686315608468],[0.5972264100478323],[10.659940737496354],[0.10577898759632166],[0.13085146496104166]
120,260424_202056/120/forecast_Wh_metrics_120d.json,[1.1519296510772654],[20.97133645041555],[1.411655157398752],[-3.8002006968408235],[1.1784568662363466],[24.718748537357094],[0.21071871012467652],[0.2625644582175531]
30,260424_202056/30/forecast_Wh_metrics_30d.json,[0.722333158002163],[12.559245396529134],[1.0103915654253226],[-2.0606834729135612],[0.8107090740746471],[13.75431467060308],[0.13227879016253866],[0.15892238583860208]
60,260424_202056/60/forecast_Wh_metrics_60d.json,[0.706541566748675],[12.846816678073472],[0.9613023743301187],[-1.6936751541609838],[0.7505963127572052],[13.875016495963335],[0.13275616974516294],[0.1564986723959087]
90,260424_202056/90/forecast_Wh_metrics_90d.json,[0.5235658791717148],[9.548704871773218],[0.6828582141449412],[-0.3068350869116503],[0.5549796180168333],[9.927627376314728],[0.09914049312218887],[0.12159525235196107]
120,260424_212404/120/forecast_Wh_metrics_120d.json,[0.5692605727334796],[10.21534421745452],[0.6976117184339087],[-0.03139856918019435],[0.5462573023076622],[10.4459300463498],[0.10413296810187549],[0.12170810552096026]
30,260424_212404/30/forecast_Wh_metrics_30d.json,[0.6507677590423718],[11.253800504447693],[0.9102866835100794],[-1.6424834054302617],[0.7532895784144362],[12.26822140293588],[0.11917322483298441],[0.1476665068361552]
