category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
90,pMLP-260423_014553/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_015543/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_020439/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_021352/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_022300/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_023142/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_023950/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_024808/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_025625/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_030555/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_031627/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_032727/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_033935/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_035125/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_040313/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_041358/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_042548/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_043845/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_044704/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_045531/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_050357/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_051230/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_052102/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_052940/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_053822/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_054705/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_055549/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_060436/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_061351/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
90,pMLP-260423_062244/90/forecast_Wh_metrics_90d.json,[0.5455844271935997],[10.36128654655066],[0.7115757967423314],[-0.38788212923312493],[0.5719300721554804],[10.377060058984405],[0.10330984371504583],[0.12530907297087726]
