category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260505_010714/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
30,260505_010714/30/forecast_Wh_metrics_30d.json,[0.458062415259168],[8.217640342857738],[0.6407325978171821],[0.6160757937967309],[-0.11890978662517582],[0.49017748702994485],[8.41388471843688],"[""2026-01-29T00:00:00""]",[4.72749],[0.08388365041554924],[0.09608894018126717]
60,260505_010714/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
90,260505_010714/90/forecast_Wh_metrics_90d.json,[0.5583478693111855],[10.55157634177401],[0.7282224531374066],[0.8362838251442896],[-0.4480718737816416],[0.5842001977801247],[10.627122216677542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10572668177843492],[0.12799744020686757]
120,260505_010924/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
30,260505_010924/30/forecast_Wh_metrics_30d.json,[0.458062415259168],[8.217640342857738],[0.6407325978171821],[0.6160757937967309],[-0.11890978662517582],[0.49017748702994485],[8.41388471843688],"[""2026-01-29T00:00:00""]",[4.72749],[0.08388365041554924],[0.09608894018126717]
60,260505_010924/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
90,260505_010924/90/forecast_Wh_metrics_90d.json,[0.5583478693111855],[10.55157634177401],[0.7282224531374066],[0.8362838251442896],[-0.4480718737816416],[0.5842001977801247],[10.627122216677542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10572668177843492],[0.12799744020686757]
120,260505_011141/120/forecast_Wh_metrics_120d.json,[0.5623428333333335],[10.36354112648301],[0.6891342367642386],[0.522082849465818],[0.011237179315711443],[0.5348476072132988],[10.316519162752096],"[""2025-10-31T00:00:00""]",[6.54126],[0.10286752873931178],[0.11916598412754292]
30,260505_011141/30/forecast_Wh_metrics_30d.json,[0.458062415259168],[8.217640342857738],[0.6407325978171821],[0.6160757937967309],[-0.11890978662517582],[0.49017748702994485],[8.41388471843688],"[""2026-01-29T00:00:00""]",[4.72749],[0.08388365041554924],[0.09608894018126717]
