category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,260505_010714/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_010924/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_011141/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_011349/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_011557/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_011806/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_012011/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_012209/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_012404/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_012612/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_012809/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_013005/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_013200/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_013355/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_013551/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_013746/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_013941/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_014136/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_014331/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_014528/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_014726/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_014918/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_015105/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
60,260505_015252/60/forecast_Wh_metrics_60d.json,[1.7018502455086155],[30.98520745473291],[2.3154938913079817],[2.279258634032445],[-14.59987289008353],[1.8063185679365248],[39.33101930993225],"[""2025-12-30T00:00:00""]",[4.57906],[0.31977045754472266],[0.37661583597145315]
