category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260428_083230/120/forecast_Wh_metrics_120d.json,[0.7446260697982545],[13.601324384786187],[0.9125168631445907],[0.6913158259747343],[-1.035577549170255],[0.7674106455824474],[14.588349845662],"[""2025-10-31T00:00:00""]",[6.54126],[0.1362120028826058],[0.17098187142924837]
30,260428_083230/30/forecast_Wh_metrics_30d.json,[0.4742300018499385],[8.234100577440941],[0.663347637627592],[0.6378205569793876],[-0.5613188604151449],[0.5790307496951832],[8.724871802556676],"[""2026-01-29T00:00:00""]",[4.72749],[0.08684437396863968],[0.11350674509287652]
60,260428_083230/60/forecast_Wh_metrics_60d.json,[3172.879080409421],[60173.251443279914],[4316.938078386115],[4249.38214032034],[-39752667.47368713],[2883.4801086102434],[196.76098098362476],"[""2025-12-30T00:00:00""]",[4.57906],[596.1705490563759],[601.2030717548738]
90,260428_083230/90/forecast_Wh_metrics_90d.json,[0.9266206421937582],[18.78257476633246],[1.2085403997664714],[1.3878764435287334],[-2.6340370275272806],[0.9254678036974177],[16.61222015388716],"[""2025-11-30T00:00:00""]",[5.85374],[0.1754614482319219],[0.202768691823903]
120,260428_105817/120/forecast_Wh_metrics_120d.json,[2.204692928466605],[39.81303136605502],[2.7017849050416416],[2.046851667812933],[-11.94787228953913],[1.935455528575684],[51.45303764270265],"[""2025-10-31T00:00:00""]",[6.54126],[0.4032972410016711],[0.4312265020675974]
30,260428_105817/30/forecast_Wh_metrics_30d.json,[0.6152685363811539],[10.614751175783619],[0.8606307667648831],[0.8275117960392092],[-1.4187632952524525],[0.7206966603268433],[11.532356744371047],"[""2026-01-29T00:00:00""]",[4.72749],[0.11267235446130694],[0.14127735384704548]
60,260428_105817/60/forecast_Wh_metrics_60d.json,[1.3220996666666665],[24.159215970129928],[1.7988149720847382],[1.7706652440507944],[-6.787131909983159],[1.276211289606459],[27.858816300695093],"[""2025-12-30T00:00:00""]",[4.57906],[0.2484169311873716],[0.26608893372579945]
90,260428_105817/90/forecast_Wh_metrics_90d.json,[1.1638236522099574],[21.60782108163494],[1.5179112549981257],[1.7431550278220833],[-4.701255030947931],[1.1591826568416161],[24.695868260025012],"[""2025-11-30T00:00:00""]",[5.85374],[0.22037733048971275],[0.2539752868480979]
120,260428_122109/120/forecast_Wh_metrics_120d.json,[1.9056529110242542],[34.71731009607597],[2.3353203535854585],[1.7692209145495288],[-9.82926344472203],[1.7700415161244],[44.81855486585412],"[""2025-10-31T00:00:00""]",[6.54126],[0.34859483214173426],[0.3943716609569747]
30,260428_122109/30/forecast_Wh_metrics_30d.json,[0.7198128333333325],[12.629838631602642],[1.006866163387068],[0.9681197319583645],[-1.9233539132634965],[0.7923125275851565],[13.786507184970759],"[""2026-01-29T00:00:00""]",[4.72749],[0.13181725036706288],[0.15531613156959975]
60,260428_122109/60/forecast_Wh_metrics_60d.json,[0.5636000842547614],[9.980562669780833],[0.766819851321611],[0.7548198565468757],[-0.9304259891066797],[0.6354192890478964],[10.737385618253672],"[""2025-12-30T00:00:00""]",[4.57906],[0.1058980702268124],[0.13248436404578298]
90,260428_122109/90/forecast_Wh_metrics_90d.json,[0.4771862625269514],[9.1088281888778],[0.622367828016507],[0.7147213679254414],[-0.054936083449726336],[0.4986315040862298],[9.044992481728547],"[""2025-11-30T00:00:00""]",[5.85374],[0.09035822092321717],[0.10924945998316643]
120,260428_140030/120/forecast_Wh_metrics_120d.json,[1.1989247865329753],[21.503857133547058],[1.4692462831039241],[1.1130897945974234],[-3.4555321847267706],[1.1353605135018978],[24.95196013184619],"[""2025-10-31T00:00:00""]",[6.54126],[0.21931537600275403],[0.2529624347315244]
30,260428_140030/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_140030/60/forecast_Wh_metrics_60d.json,[0.567844714166362],[10.077416251797997],[0.7725949861533112],[0.7605046160607168],[-1.0777637218464728],[0.6592223088685134],[10.853458225951675],"[""2025-12-30T00:00:00""]",[4.57906],[0.10669561822054605],[0.1374472727859769]
90,260428_140030/90/forecast_Wh_metrics_90d.json,[0.7943522777777776],[14.798568885287875],[1.0360300382130092],[1.189767164673894],[-2.224478574603989],[0.8717588968879831],[16.25348715340659],"[""2025-11-30T00:00:00""]",[5.85374],[0.15041560129206633],[0.1910011460167648]
120,260428_154414/120/forecast_Wh_metrics_120d.json,[0.8188698404548213],[14.90822317318091],[1.0035003721236844],[0.7602442394653192],[-1.4812194550901618],[0.8472597635606574],[16.347477921766124],"[""2025-10-31T00:00:00""]",[6.54126],[0.14979317216053306],[0.18877254413164102]
30,260428_154414/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_154414/60/forecast_Wh_metrics_60d.json,[1.443429438298765],[26.27892193179037],[1.963893154368606],[1.9331601112034549],[-9.070884262817415],[1.4513348335247267],[31.245323432901895],"[""2025-12-30T00:00:00""]",[4.57906],[0.2712142817127686],[0.3026020389231876]
90,260428_154414/90/forecast_Wh_metrics_90d.json,[0.5913022820868952],[11.434049324812388],[0.7712030833721663],[0.885642377197964],[-0.7039561681197015],[0.6337177185523559],[11.073748531787528],"[""2025-11-30T00:00:00""]",[5.85374],[0.11196680716304672],[0.13884665923883627]
120,260428_170651/120/forecast_Wh_metrics_120d.json,[23.148918835063913],[436.1719671402196],[28.36830411576166],[21.491611150842633],[-1808.1696063028598],[22.878293906095422],[183.8761483899511],"[""2025-10-31T00:00:00""]",[6.54126],[4.234555741441118],[5.097366748416182]
30,260428_170651/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_170651/60/forecast_Wh_metrics_60d.json,[0.9196135779001177],[16.476455686041973],[1.251202699891622],[1.2316225783872594],[-3.5680315109151026],[0.9774585773121047],[18.51064909357695],"[""2025-12-30T00:00:00""]",[4.57906],[0.17279149874998292],[0.20379925543388525]
90,260428_170651/90/forecast_Wh_metrics_90d.json,[0.8740080967741937],[17.721062023515792],[1.1399207470426154],[1.3090742788704692],[-2.2204787861478916],[0.8712180446114742],[15.789233169106184],"[""2025-11-30T00:00:00""]",[5.85374],[0.16549893175632385],[0.19088264604503205]
120,260428_182418/120/forecast_Wh_metrics_120d.json,[0.5334322899568342],[10.230876642439256],[0.6537052349823425],[0.49524210753595516],[-0.03714826485975231],[0.5477777853983925],[9.850071067328381],"[""2025-10-31T00:00:00""]",[6.54126],[0.09757901793172703],[0.12204687466082838]
30,260428_182418/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_182418/60/forecast_Wh_metrics_60d.json,[0.6257264652857987],[11.21796019395857],[0.8513474154513485],[0.8380246454170398],[-1.245774938981286],[0.6853571248612363],[12.048491960349885],"[""2025-12-30T00:00:00""]",[4.57906],[0.11757135425419482],[0.142896358981389]
90,260428_182418/90/forecast_Wh_metrics_90d.json,[0.7496636452393742],[14.002473765806966],[0.9777451097603947],[1.1228333002968551],[-1.5659709809988827],[0.7776649239426557],[14.586883276930946],"[""2025-11-30T00:00:00""]",[5.85374],[0.14195352757209317],[0.17038528912102804]
120,260428_195455/120/forecast_Wh_metrics_120d.json,[0.6746352850599556],[11.979368198809375],[0.8267452605525342],[0.6263359130701454],[-0.534287106171583],[0.6662501364673168],[12.75216387759114],"[""2025-10-31T00:00:00""]",[6.54126],[0.12340881835924898],[0.14844294359079907]
30,260428_195455/30/forecast_Wh_metrics_30d.json,[0.7667105366609643],[13.40239319608486],[1.072466147764244],[1.0311952842026306],[-2.3005103738219765],[0.8418726016583359],[14.700338642016339],"[""2026-01-29T00:00:00""]",[4.72749],[0.14040549166383334],[0.16503133701865375]
60,260428_195455/60/forecast_Wh_metrics_60d.json,[1.4420425163418298],[26.252964154136926],[1.9620061438472751],[1.9313026305858647],[-9.052417211397746],[1.4500035614997053],[31.208888448374676],"[""2025-12-30T00:00:00""]",[4.57906],[0.2709536849476194],[0.3023244698744557]
90,260428_195455/90/forecast_Wh_metrics_90d.json,[0.5785644014935158],[11.735373429080505],[0.7545897654688929],[0.8665637989632085],[-0.5610146613232154],[0.6065549224771174],[10.840850497933442],"[""2025-11-30T00:00:00""]",[5.85374],[0.10955480933508091],[0.13289532889060482]
120,260428_212800/120/forecast_Wh_metrics_120d.json,[1.6357738968219033],[29.662748041878118],[2.0045917349444182],[1.51866343182925],[-7.206710626686144],[1.5408790604870752],[36.906509448215196],"[""2025-10-31T00:00:00""]",[6.54126],[0.2992267498901348],[0.34331343580497253]
30,260428_212800/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_212800/60/forecast_Wh_metrics_60d.json,[1.2511915607301964],[24.66867704281931],[1.7023392177853072],[1.6756992427207036],[-6.2626979724232505],[1.2324883089420007],[21.398120485819934],"[""2025-12-30T00:00:00""]",[4.57906],[0.23509359822151585],[0.25697273063382786]
90,260428_212800/90/forecast_Wh_metrics_90d.json,[1.3805167762053268],[27.552914124597155],[1.8005321926021136],[2.0677142579681114],[-6.034319491446461],[1.2875902676304765],[23.608452418496086],"[""2025-11-30T00:00:00""]",[5.85374],[0.26140953679596574],[0.2821092134481019]
120,260428_230653/120/forecast_Wh_metrics_120d.json,[1.9167410008299484],[34.92801261760564],[2.3489084743055657],[1.7795151713227066],[-9.968174569743894],[1.78135784350866],[45.19513208544079],"[""2025-10-31T00:00:00""]",[6.54126],[0.35062314001575884],[0.39689297968639925]
30,260428_230653/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_230653/60/forecast_Wh_metrics_60d.json,[0.6925649906217277],[12.489964750844319],[0.9422862025319501],[0.9275403277515823],[-1.6409040865740097],[0.7432075805575069],[13.527259849034397],"[""2025-12-30T00:00:00""]",[4.57906],[0.13013003025091685],[0.15495812821751526]
90,260428_230653/90/forecast_Wh_metrics_90d.json,[2.3807980657196257],[44.59807848800753],[3.1051441281257266],[3.5659183507808323],[-21.800604636930274],[2.3181408629464935],[61.800720289233894],"[""2025-11-30T00:00:00""]",[5.85374],[0.4508190920179976],[0.507901396856023]
120,260429_034729/120/forecast_Wh_metrics_120d.json,[4.071585006905621],[75.63523930422313],[4.989605023545165],[3.7800867660165576],[-51.18219474494988],[3.885484349175502],[116.53072275864808],"[""2025-10-31T00:00:00""]",[6.54126],[0.7448016812621981],[0.8656999863832454]
30,260429_034729/30/forecast_Wh_metrics_30d.json,[0.7203331767781548],[12.5214186849096],[1.0075940139944344],[0.9688195732684936],[-2.0493366220695677],[0.8092049105918488],[13.711366892025714],"[""2026-01-29T00:00:00""]",[4.72749],[0.13191253936298888],[0.15862752636678668]
