category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260428_083230/120/forecast_Wh_metrics_120d.json,[0.7446260697982545],[13.601324384786187],[0.9125168631445907],[0.6913158259747343],[-1.035577549170255],[0.7674106455824474],[14.588349845662],"[""2025-10-31T00:00:00""]",[6.54126],[0.1362120028826058],[0.17098187142924837]
120,260428_105817/120/forecast_Wh_metrics_120d.json,[2.204692928466605],[39.81303136605502],[2.7017849050416416],[2.046851667812933],[-11.94787228953913],[1.935455528575684],[51.45303764270265],"[""2025-10-31T00:00:00""]",[6.54126],[0.4032972410016711],[0.4312265020675974]
120,260428_122109/120/forecast_Wh_metrics_120d.json,[1.9056529110242542],[34.71731009607597],[2.3353203535854585],[1.7692209145495288],[-9.82926344472203],[1.7700415161244],[44.81855486585412],"[""2025-10-31T00:00:00""]",[6.54126],[0.34859483214173426],[0.3943716609569747]
120,260428_140030/120/forecast_Wh_metrics_120d.json,[1.1989247865329753],[21.503857133547058],[1.4692462831039241],[1.1130897945974234],[-3.4555321847267706],[1.1353605135018978],[24.95196013184619],"[""2025-10-31T00:00:00""]",[6.54126],[0.21931537600275403],[0.2529624347315244]
120,260428_154414/120/forecast_Wh_metrics_120d.json,[0.8188698404548213],[14.90822317318091],[1.0035003721236844],[0.7602442394653192],[-1.4812194550901618],[0.8472597635606574],[16.347477921766124],"[""2025-10-31T00:00:00""]",[6.54126],[0.14979317216053306],[0.18877254413164102]
120,260428_170651/120/forecast_Wh_metrics_120d.json,[23.148918835063913],[436.1719671402196],[28.36830411576166],[21.491611150842633],[-1808.1696063028598],[22.878293906095422],[183.8761483899511],"[""2025-10-31T00:00:00""]",[6.54126],[4.234555741441118],[5.097366748416182]
120,260428_182418/120/forecast_Wh_metrics_120d.json,[0.5334322899568342],[10.230876642439256],[0.6537052349823425],[0.49524210753595516],[-0.03714826485975231],[0.5477777853983925],[9.850071067328381],"[""2025-10-31T00:00:00""]",[6.54126],[0.09757901793172703],[0.12204687466082838]
120,260428_195455/120/forecast_Wh_metrics_120d.json,[0.6746352850599556],[11.979368198809375],[0.8267452605525342],[0.6263359130701454],[-0.534287106171583],[0.6662501364673168],[12.75216387759114],"[""2025-10-31T00:00:00""]",[6.54126],[0.12340881835924898],[0.14844294359079907]
120,260428_212800/120/forecast_Wh_metrics_120d.json,[1.6357738968219033],[29.662748041878118],[2.0045917349444182],[1.51866343182925],[-7.206710626686144],[1.5408790604870752],[36.906509448215196],"[""2025-10-31T00:00:00""]",[6.54126],[0.2992267498901348],[0.34331343580497253]
120,260428_230653/120/forecast_Wh_metrics_120d.json,[1.9167410008299484],[34.92801261760564],[2.3489084743055657],[1.7795151713227066],[-9.968174569743894],[1.78135784350866],[45.19513208544079],"[""2025-10-31T00:00:00""]",[6.54126],[0.35062314001575884],[0.39689297968639925]
