category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260505_063424/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_063543/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_063704/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_063821/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_063936/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_064051/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_064208/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_064333/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_064454/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_064618/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_064737/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_064856/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_065012/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_065127/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_065247/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_065404/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_065517/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_065634/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_065750/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_065906/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
90,260505_070020/90/forecast_Wh_metrics_90d.json,[0.6221357527946504],[11.604093024044776],[0.8114174853815124],[0.9318242187401672],[-0.7389123860251159],[0.6401849954564846],[11.921994326181318],"[""2025-11-30T00:00:00""]",[5.85374],[0.11780531882364495],[0.140263630496263]
