category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,260505_033041/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_033740/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_034436/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_035319/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_040218/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_041301/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_042233/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_043641/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_045330/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_050843/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_051857/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_052741/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_053525/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_054410/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_055156/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_055932/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_060704/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_061455/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_062242/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_063117/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_064030/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_065040/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_070030/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_070945/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_071813/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_072712/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_073707/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
60,260505_074633/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
