category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260505_033041/120/forecast_Wh_metrics_120d.json,[1.4984605766338013],[29.261058926506774],[1.8363183890488548],[1.3911808265144912],[-5.231574889028196],[1.3427120999814561],[24.728282023187123],"[""2025-10-31T00:00:00""]",[6.54126],[0.2741084749278448],[0.29916111923529515]
30,260505_033041/30/forecast_Wh_metrics_30d.json,[0.5560301696733153],[9.641885507688444],[0.7777688000835847],[0.7478385406552138],[-0.9472967852296439],[0.6466538956154062],[10.339137863542081],"[""2026-01-29T00:00:00""]",[4.72749],[0.10182420303352183],[0.1267628341527163]
60,260505_033041/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
90,260505_033041/90/forecast_Wh_metrics_90d.json,[0.5778211560725526],[10.287398284481279],[0.7536203912964711],[0.8654505787687248],[-0.6691925931210185],[0.6272199521620364],[11.042140583814406],"[""2025-11-30T00:00:00""]",[5.85374],[0.10941407113865437],[0.1374230077779442]
120,260505_033740/120/forecast_Wh_metrics_120d.json,[1.4984605766338013],[29.261058926506774],[1.8363183890488548],[1.3911808265144912],[-5.231574889028196],[1.3427120999814561],[24.728282023187123],"[""2025-10-31T00:00:00""]",[6.54126],[0.2741084749278448],[0.29916111923529515]
30,260505_033740/30/forecast_Wh_metrics_30d.json,[0.5560301696733153],[9.641885507688444],[0.7777688000835847],[0.7478385406552138],[-0.9472967852296439],[0.6466538956154062],[10.339137863542081],"[""2026-01-29T00:00:00""]",[4.72749],[0.10182420303352183],[0.1267628341527163]
60,260505_033740/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
90,260505_033740/90/forecast_Wh_metrics_90d.json,[0.5778211560725526],[10.287398284481279],[0.7536203912964711],[0.8654505787687248],[-0.6691925931210185],[0.6272199521620364],[11.042140583814406],"[""2025-11-30T00:00:00""]",[5.85374],[0.10941407113865437],[0.1374230077779442]
120,260505_034436/120/forecast_Wh_metrics_120d.json,[1.4984605766338013],[29.261058926506774],[1.8363183890488548],[1.3911808265144912],[-5.231574889028196],[1.3427120999814561],[24.728282023187123],"[""2025-10-31T00:00:00""]",[6.54126],[0.2741084749278448],[0.29916111923529515]
30,260505_034436/30/forecast_Wh_metrics_30d.json,[0.5560301696733153],[9.641885507688444],[0.7777688000835847],[0.7478385406552138],[-0.9472967852296439],[0.6466538956154062],[10.339137863542081],"[""2026-01-29T00:00:00""]",[4.72749],[0.10182420303352183],[0.1267628341527163]
60,260505_034436/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
90,260505_034436/90/forecast_Wh_metrics_90d.json,[0.5778211560725526],[10.287398284481279],[0.7536203912964711],[0.8654505787687248],[-0.6691925931210185],[0.6272199521620364],[11.042140583814406],"[""2025-11-30T00:00:00""]",[5.85374],[0.10941407113865437],[0.1374230077779442]
120,260505_035319/120/forecast_Wh_metrics_120d.json,[1.4984605766338013],[29.261058926506774],[1.8363183890488548],[1.3911808265144912],[-5.231574889028196],[1.3427120999814561],[24.728282023187123],"[""2025-10-31T00:00:00""]",[6.54126],[0.2741084749278448],[0.29916111923529515]
30,260505_035319/30/forecast_Wh_metrics_30d.json,[0.5560301696733153],[9.641885507688444],[0.7777688000835847],[0.7478385406552138],[-0.9472967852296439],[0.6466538956154062],[10.339137863542081],"[""2026-01-29T00:00:00""]",[4.72749],[0.10182420303352183],[0.1267628341527163]
60,260505_035319/60/forecast_Wh_metrics_60d.json,[0.6197394078728992],[11.117738045423916],[0.8432015783525408],[0.8300062828514658],[-1.2610538648458358],[0.6876845554375794],[11.944400006651795],"[""2025-12-30T00:00:00""]",[4.57906],[0.11644641150830871],[0.14338162621372239]
90,260505_035319/90/forecast_Wh_metrics_90d.json,[0.5778211560725526],[10.287398284481279],[0.7536203912964711],[0.8654505787687248],[-0.6691925931210185],[0.6272199521620364],[11.042140583814406],"[""2025-11-30T00:00:00""]",[5.85374],[0.10941407113865437],[0.1374230077779442]
120,260505_040218/120/forecast_Wh_metrics_120d.json,[1.4984605766338013],[29.261058926506774],[1.8363183890488548],[1.3911808265144912],[-5.231574889028196],[1.3427120999814561],[24.728282023187123],"[""2025-10-31T00:00:00""]",[6.54126],[0.2741084749278448],[0.29916111923529515]
30,260505_040218/30/forecast_Wh_metrics_30d.json,[0.5560301696733153],[9.641885507688444],[0.7777688000835847],[0.7478385406552138],[-0.9472967852296439],[0.6466538956154062],[10.339137863542081],"[""2026-01-29T00:00:00""]",[4.72749],[0.10182420303352183],[0.1267628341527163]
