category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260505_035004/120/forecast_Wh_metrics_120d.json,[1.101084848006696],[19.588907918322196],[1.3493463797625742],[1.022254540959396],[-2.9029858375578232],[1.0626309991288165],[22.55091464647667],"[""2025-10-31T00:00:00""]",[6.54126],[0.2014178371854705],[0.23675803549985672]
120,260505_061945/120/forecast_Wh_metrics_120d.json,[2.5971383747906516],[50.29614737981659],[3.182715001582612],[2.411200646286165],[-18.58224099561599],[2.380209525295484],[38.158427313959805],"[""2025-10-31T00:00:00""]",[6.54126],[0.4750859983848763],[0.5303193034543605]
120,260505_084407/120/forecast_Wh_metrics_120d.json,[0.5370956041880455],[10.329171872626052],[0.6581945164439538],[0.49864315298181355],[0.04746283912805882],[0.5249584818902588],[9.880293735970874],"[""2025-10-31T00:00:00""]",[6.54126],[0.09824913598004736],[0.11696265118674376]
120,260505_104214/120/forecast_Wh_metrics_120d.json,[1.7152672457767755],[31.336343002877353],[2.1020084443121303],[1.592465588940301],[-9.594922833462697],[1.75078530311781],[41.783932140696066],"[""2025-10-31T00:00:00""]",[6.54126],[0.3137682072956252],[0.3900813069522969]
120,260505_121544/120/forecast_Wh_metrics_120d.json,[1.8334101186343401],[33.37710517604188],[2.2467889833175456],[1.7021502226715424],[-9.152430262049918],[1.7138349725430457],[42.743924828535704],"[""2025-10-31T00:00:00""]",[6.54126],[0.33537969525037004],[0.38184863946459546]
120,260505_134134/120/forecast_Wh_metrics_120d.json,[1.2708189831748982],[22.834112414788375],[1.5573504597623675],[1.1798368478502954],[-4.161802692181801],[1.2220379506385581],[26.989769458431184],"[""2025-10-31T00:00:00""]",[6.54126],[0.23246674541812443],[0.27227448167487767]
120,260505_151102/120/forecast_Wh_metrics_120d.json,[0.5835232012211818],[10.812744381341792],[0.7150901408739407],[0.5417468447444197],[-0.18796633844788202],[0.5862543264773822],[10.760127502626052],"[""2025-10-31T00:00:00""]",[6.54126],[0.10674198391729918],[0.13061958737686954]
120,260505_164652/120/forecast_Wh_metrics_120d.json,[0.7716684917962902],[13.70090374081335],[0.9456565383377591],[0.7164221915160246],[-1.0332619576874627],[0.7669740335735346],[14.949728337315344],"[""2025-10-31T00:00:00""]",[6.54126],[0.14115878437811138],[0.1708845926922356]
120,260505_182418/120/forecast_Wh_metrics_120d.json,[2.078534691047114],[38.017299961207364],[2.5471817777282575],[1.9297255159864175],[-11.971642322259038],[1.9372312931530675],[50.70645802697589],"[""2025-10-31T00:00:00""]",[6.54126],[0.3802195287162229],[0.4316221488473321]
120,260505_200019/120/forecast_Wh_metrics_120d.json,[0.8377703508202612],[15.062862766975368],[1.0266623793781118],[0.7777915997641175],[-1.499484753808828],[0.8503725629269198],[16.66778413010597],"[""2025-10-31T00:00:00""]",[6.54126],[0.15325058048505968],[0.18946608710513388]
120,260505_222650/120/forecast_Wh_metrics_120d.json,[0.5341504361878868],[10.22409987618717],[0.654585301599157],[0.4959088393024447],[-0.03862427165736326],[0.5481674289557213],[9.868494100884199],"[""2025-10-31T00:00:00""]",[6.54126],[0.09771038606462194],[0.12213368865670651]
120,260506_021008/120/forecast_Wh_metrics_120d.json,[0.9008963972901689],[17.872703049408102],[1.1040214515941125],[0.8363982437239339],[-1.5731632135263558],[0.8628149476325364],[15.88324850472858],"[""2025-10-31T00:00:00""]",[6.54126],[0.16479802096892057],[0.19223829548438345]
120,260506_052523/120/forecast_Wh_metrics_120d.json,[4.071585006905621],[75.63523930422313],[4.989605023545165],[3.7800867660165576],[-51.18219474494988],[3.885484349175502],[116.53072275864808],"[""2025-10-31T00:00:00""]",[6.54126],[0.7448016812621981],[0.8656999863832454]
120,260506_074550/120/forecast_Wh_metrics_120d.json,[0.6916746666666665],[13.758560246345622],[0.8476265104635025],[0.642155388975325],[-0.615109477787184],[0.6835731191215465],[12.518315867397344],"[""2025-10-31T00:00:00""]",[6.54126],[0.12652577650867283],[0.15230256687072968]
120,260506_094838/120/forecast_Wh_metrics_120d.json,[2.0258232582775966],[37.007669360096166],[2.4825855015117546],[1.880787869076951],[-11.093523872985482],[1.870511688830985],[48.542726334163625],"[""2025-10-31T00:00:00""]",[6.54126],[0.3705771993329754],[0.4167567793431726]
120,260506_112008/120/forecast_Wh_metrics_120d.json,[2.755048057466377],[50.79707294461934],[3.3762285705266204],[2.5578050523579994],[-22.70132052876856],[2.618606641982421],[79.2838282947926],"[""2025-10-31T00:00:00""]",[6.54126],[0.5039718983341553],[0.5834350445365453]
120,260506_132812/120/forecast_Wh_metrics_120d.json,[0.6331829917675231],[12.07695202000315],[0.7759467212862304],[0.5878513265933799],[-0.4859423389752362],[0.6556694849452962],[11.658537192994348],"[""2025-10-31T00:00:00""]",[6.54126],[0.11582608640498204],[0.1460855361081302]
120,260506_155951/120/forecast_Wh_metrics_120d.json,[0.8206378767234147],[14.940524489810954],[1.0056670474190843],[0.761885696168154],[-1.4907108788708752],[0.8488787307249039],[16.38555754226966],"[""2025-10-31T00:00:00""]",[6.54126],[0.15011659323197024],[0.18913325587980198]
120,260506_174548/120/forecast_Wh_metrics_120d.json,[3.4237707661764745],[63.77551634117344],[4.1957281465098015],[3.1786516899800685],[-40.3690621985001],[3.4595676807750877],[99.03520067785142],"[""2025-10-31T00:00:00""]",[6.54126],[0.626299148508411],[0.7708042099756331]
120,260506_194230/120/forecast_Wh_metrics_120d.json,[1.8909290812130983],[34.45324717029876],[2.3172767427884433],[1.7555512124261954],[-9.623387809844049],[1.7531356097133175],[44.3028477867804],"[""2025-10-31T00:00:00""]",[6.54126],[0.34590145028199953],[0.3906049637746848]
120,260506_213133/120/forecast_Wh_metrics_120d.json,[0.9362949532529217],[16.676646042789564],[1.147401317753957],[0.8692624999543577],[-1.928944960618018],[0.9205335015362082],[18.739322494218086],"[""2025-10-31T00:00:00""]",[6.54126],[0.17127336262348408],[0.20509819835313964]
120,260506_235341/120/forecast_Wh_metrics_120d.json,[2.0925214201805495],[38.28160343165508],[2.5643220938038866],[1.9427108889081384],[-12.158972596529182],[1.9511694369142125],[51.20727284328854],"[""2025-10-31T00:00:00""]",[6.54126],[0.3827780751683474],[0.4347276177618553]
120,260507_022657/120/forecast_Wh_metrics_120d.json,[1.1558212828706842],[20.73005968040943],[1.41642423516903],[1.073072213363966],[-3.34912853024559],[1.1217216822545295],[24.112280911354365],"[""2025-10-31T00:00:00""]",[6.54126],[0.21143059355525104],[0.24992365372919315]
120,260507_061011/120/forecast_Wh_metrics_120d.json,[2.2203444577365343],[40.69585815616087],[2.720965383636329],[2.0613826523216283],[-13.849631830593609],[2.0727257197424414],[55.78065546486908],"[""2025-10-31T00:00:00""]",[6.54126],[0.40616032387843687],[0.46181079785792895]
120,260507_110407/120/forecast_Wh_metrics_120d.json,[0.8801595733939513],[15.563933842359553],[1.0786090973120699],[0.8171460376552016],[-1.48794606046138],[0.8484074501669044],[17.248475897813787],"[""2025-10-31T00:00:00""]",[6.54126],[0.16100470183749],[0.18902825286448177]
120,260507_132820/120/forecast_Wh_metrics_120d.json,[1.0201873804495247],[18.314057822785614],[1.2502089652591957],[0.9471487907421058],[-2.51772238729281],[1.008822534433825],[20.90332646474976],"[""2025-10-31T00:00:00""]",[6.54126],[0.18661952897276127],[0.22476931466930128]
120,260507_150910/120/forecast_Wh_metrics_120d.json,[0.8812591515682812],[17.583568230297217],[1.0799565973085359],[0.8181668933902372],[-1.5385134614818785],[0.8569860029596535],[15.576224857824341],"[""2025-10-31T00:00:00""]",[6.54126],[0.16120584406380506],[0.19093958549858359]
120,260507_162941/120/forecast_Wh_metrics_120d.json,[0.8387842122763024],[14.86354128303593],[1.0279048361131824],[0.778732875524308],[-1.3527071469107934],[0.8250265585319615],[16.420490265283437],"[""2025-10-31T00:00:00""]",[6.54126],[0.15343604283344384],[0.18381890552164837]
120,260507_180225/120/forecast_Wh_metrics_120d.json,[0.8111868382359854],[14.382898190703058],[0.9940850838754974],[0.753111288793421],[-1.1973627117292494],[0.797324058196844],[15.755197129792553],"[""2025-10-31T00:00:00""]",[6.54126],[0.14838774578234745],[0.17764668810736847]
120,260507_194828/120/forecast_Wh_metrics_120d.json,[0.7275979556900632],[13.900034179978974],[0.8916494212143279],[0.6755068108905784],[-0.9308742866865987],[0.7474135945558403],[13.045746922308945],"[""2025-10-31T00:00:00""]",[6.54126],[0.13309710585970314],[0.16652645603036448]
