category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260505_035004/120/forecast_Wh_metrics_120d.json,[1.101084848006696],[19.588907918322196],[1.3493463797625742],[1.022254540959396],[-2.9029858375578232],[1.0626309991288165],[22.55091464647667],"[""2025-10-31T00:00:00""]",[6.54126],[0.2014178371854705],[0.23675803549985672]
30,260505_035004/30/forecast_Wh_metrics_30d.json,[0.6401717196678536],[11.171499185566645],[0.8954650618077903],[0.861005590553519],[-1.4874513440214554],[0.7308581966932036],[12.093818746201352],"[""2026-01-29T00:00:00""]",[4.72749],[0.11723280266982006],[0.14326930836534288]
60,260505_035004/60/forecast_Wh_metrics_60d.json,[0.6556228831614177],[12.879951100018586],[0.8920237165217156],[0.878064401411717],[-1.4398108554289912],[0.7143513931680506],[12.092175930260169],"[""2025-12-30T00:00:00""]",[4.57906],[0.12318876462756043],[0.14894163847448846]
90,260505_035004/90/forecast_Wh_metrics_90d.json,[2.080093390413043],[38.811977974653324],[2.7129515393158243],[3.1155280655731605],[-17.07168508597813],[2.063792194529755],[51.7305567929032],"[""2025-11-30T00:00:00""]",[5.85374],[0.3938787699305363],[0.45217396197826043]
120,260505_061945/120/forecast_Wh_metrics_120d.json,[2.5971383747906516],[50.29614737981659],[3.182715001582612],[2.411200646286165],[-18.58224099561599],[2.380209525295484],[38.158427313959805],"[""2025-10-31T00:00:00""]",[6.54126],[0.4750859983848763],[0.5303193034543605]
30,260505_061945/30/forecast_Wh_metrics_30d.json,[0.875465949744923],[15.351553319834139],[1.2245920066661133],[1.1774670044167466],[-3.1194887785286483],[0.9405404690586379],[17.011634449899866],"[""2026-01-29T00:00:00""]",[4.72749],[0.16032155713445664],[0.18437308783199052]
60,260505_061945/60/forecast_Wh_metrics_60d.json,[0.6642366403969885],[11.913021767201624],[0.9037433741783228],[0.8896006576730702],[-1.5155798658443507],[0.7253587786271468],[12.87109463549313],"[""2025-12-30T00:00:00""]",[4.57906],[0.12480725315183976],[0.15123666868129923]
90,260505_061945/90/forecast_Wh_metrics_90d.json,[4.1685595756590965],[80.36212122639206],[5.436823254973385],[6.243596759086277],[-64.72295864932082],[3.9357290600145114],[54.807804351145364],"[""2025-11-30T00:00:00""]",[5.85374],[0.7893429812383235],[0.8623126916832025]
120,260505_084407/120/forecast_Wh_metrics_120d.json,[0.5370956041880455],[10.329171872626052],[0.6581945164439538],[0.49864315298181355],[0.04746283912805882],[0.5249584818902588],[9.880293735970874],"[""2025-10-31T00:00:00""]",[6.54126],[0.09824913598004736],[0.11696265118674376]
30,260505_084407/30/forecast_Wh_metrics_30d.json,[0.7882651956898481],[13.766518062436273],[1.102616564420512],[1.0601854463047191],[-2.467514606237541],[0.8629089517487856],[15.139582235515023],"[""2026-01-29T00:00:00""]",[4.72749],[0.14435273427220638],[0.16915506901157149]
