category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260505_080432/90/forecast_Wh_metrics_90d.json,[0.5892889629629633],[11.92444399187223],[0.7685772218403817],[0.8826268624790218],[-0.5928827130139878],[0.6127150388923672],[11.030987050473765],"[""2025-11-30T00:00:00""]",[5.85374],[0.11158557252057019],[0.13424500171770137]
90,260505_111849/90/forecast_Wh_metrics_90d.json,[0.5580269679012346],[11.22551437357118],[0.7278039190571065],[0.8358031845376745],[-0.4100613438899263],[0.5764818572579259],[10.485080210456985],"[""2025-11-30T00:00:00""]",[5.85374],[0.10566591707757918],[0.12630636267344605]
90,260505_133938/90/forecast_Wh_metrics_90d.json,[3.9307605183767667],[74.62195716484851],[5.126675008036336],[5.887425425460326],[-486.5137783470007],[10.71914356918213],[27.215198116703622],"[""2025-11-30T00:00:00""]",[5.85374],[0.7443142336807889],[2.3485492529422367]
90,260505_164036/90/forecast_Wh_metrics_90d.json,[0.4772204197530864],[9.093412539641445],[0.6224123774101298],[0.7147725280306348],[-0.0001238313438221006],[0.48550480062294243],[9.029961555473493],"[""2025-11-30T00:00:00""]",[5.85374],[0.0903646888088786],[0.10637341774963098]
90,260505_192213/90/forecast_Wh_metrics_90d.json,[0.48190940740740745],[9.331166611200139],[0.6285279664184182],[0.7217956130053256],[-0.02041729694134231],[0.49040574181317326],[9.117206279637704],"[""2025-11-30T00:00:00""]",[5.85374],[0.0912525781209718],[0.10744720705907938]
90,260505_233113/90/forecast_Wh_metrics_90d.json,[0.5496824530035517],[10.359904447281378],[0.7169206266814611],[0.8233049137979352],[-0.5616318326109466],[0.6066748160623847],[10.16897126546223],"[""2025-11-30T00:00:00""]",[5.85374],[0.10408583068399964],[0.13292159740620912]
90,260506_050103/90/forecast_Wh_metrics_90d.json,[0.6997418666666667],[14.243603154842626],[0.9126348764177863],[1.0480613198927853],[-1.215843248805483],[0.7226635628868218],[12.915447290956338],"[""2025-11-30T00:00:00""]",[5.85374],[0.13250052472732274],[0.1583345684095467]
90,260506_091730/90/forecast_Wh_metrics_90d.json,[0.5253426666666665],[10.461945442152526],[0.6851755804668972],[0.7868492008996013],[-0.2261397044805209],[0.5375719734222202],[9.905655085158624],"[""2025-11-30T00:00:00""]",[5.85374],[0.09947693901263063],[0.11778126194831524]
90,260506_122357/90/forecast_Wh_metrics_90d.json,[0.612334213832978],[12.289926321944113],[0.7986338765607311],[0.9171436424441022],[-1.0209818629892653],[0.6901569226705085],[11.305212045040443],"[""2025-11-30T00:00:00""]",[5.85374],[0.11594933575699853],[0.15121240933937863]
90,260506_145350/90/forecast_Wh_metrics_90d.json,[0.796665023997422],[15.716507492103366],[1.039046426056723],[1.1932311561413251],[-2.07695586540351],[0.8515835704510493],[14.448134660610384],"[""2025-11-30T00:00:00""]",[5.85374],[0.15085353433889656],[0.18658076042107657]
