category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260505_080432/120/forecast_Wh_metrics_120d.json,[0.5785624832224348],[10.375911512286327],[0.7090109300985403],[0.5371412809590143],[-0.11598083877355769],[0.5682145656580768],[10.715461853475135],"[""2025-10-31T00:00:00""]",[6.54126],[0.10583453605621608],[0.12660026332555954]
30,260505_080432/30/forecast_Wh_metrics_30d.json,[0.5801925181983705],[10.133306180031958],[0.811566823724235],[0.7803359417771643],[-1.0160835674970086],[0.657976055909308],[10.916696842606607],"[""2026-01-29T00:00:00""]",[4.72749],[0.10624898430650102],[0.12898230447110118]
60,260505_080432/60/forecast_Wh_metrics_60d.json,[0.7971507139640778],[14.249251716880403],[1.08458286121643],[1.067610180286309],[-2.46979990718006],[0.8518949268083874],[15.712552369805765],"[""2025-12-30T00:00:00""]",[4.57906],[0.14978124497682485],[0.17761934451368336]
90,260505_080432/90/forecast_Wh_metrics_90d.json,[0.5892889629629633],[11.92444399187223],[0.7685772218403817],[0.8826268624790218],[-0.5928827130139878],[0.6127150388923672],[11.030987050473765],"[""2025-11-30T00:00:00""]",[5.85374],[0.11158557252057019],[0.13424500171770137]
120,260505_111849/120/forecast_Wh_metrics_120d.json,[1.003567224280931],[19.873261670060238],[1.2298414635196349],[0.9317185265389825],[-2.1896557165168073],[0.9606294524758268],[17.452505372909968],"[""2025-10-31T00:00:00""]",[6.54126],[0.1835792583567201],[0.21403172145169921]
30,260505_111849/30/forecast_Wh_metrics_30d.json,[0.6548471848650372],[11.635248675487018],[0.915992938854081],[0.8807435096001532],[-1.3922535632809163],[0.7167363485917112],[12.477301725209374],"[""2026-01-29T00:00:00""]",[4.72749],[0.11992027833094716],[0.14050101840226192]
60,260505_111849/60/forecast_Wh_metrics_60d.json,[0.433018],[8.289263811397369],[0.589153209262985],[0.5799335269340917],[-0.010652399106630739],[0.4597637453900714],[8.14299972332906],"[""2025-12-30T00:00:00""]",[4.57906],[0.0813622493227767],[0.09586033736964433]
90,260505_111849/90/forecast_Wh_metrics_90d.json,[0.5580269679012346],[11.22551437357118],[0.7278039190571065],[0.8358031845376745],[-0.4100613438899263],[0.5764818572579259],[10.485080210456985],"[""2025-11-30T00:00:00""]",[5.85374],[0.10566591707757918],[0.12630636267344605]
120,260505_133938/120/forecast_Wh_metrics_120d.json,[0.693318769000519],[12.799738856402785],[0.8496413084476534],[0.6436817845838243],[-0.6122434363321458],[0.6829663432861167],[13.018408832355007],"[""2025-10-31T00:00:00""]",[6.54126],[0.1268265267522128],[0.15216737501682845]
30,260505_133938/30/forecast_Wh_metrics_30d.json,[0.5391516222222226],[9.299452649832505],[0.7541592761509119],[0.7251375632934619],[-0.9166553827740647],[0.6415460588573051],[9.984994808180438],"[""2026-01-29T00:00:00""]",[4.72749],[0.09873328326637905],[0.1257615506713416]
60,260505_133938/60/forecast_Wh_metrics_60d.json,[0.7082285333333331],[12.549375329202745],[0.9635976178933673],[0.9485182399146429],[-1.8953031119083739],[0.7781813800040478],[13.776866399057445],"[""2025-12-30T00:00:00""]",[4.57906],[0.1330731436258334],[0.1622501347048891]
90,260505_133938/90/forecast_Wh_metrics_90d.json,[3.9307605183767667],[74.62195716484851],[5.126675008036336],[5.887425425460326],[-486.5137783470007],[10.71914356918213],[27.215198116703622],"[""2025-11-30T00:00:00""]",[5.85374],[0.7443142336807889],[2.3485492529422367]
120,260505_164036/120/forecast_Wh_metrics_120d.json,[0.5441997246981961],[9.882427542358418],[0.6669004025608342],[0.5052386660016968],[0.09277993067755574],[0.5123188292998898],[9.979176864561703],"[""2025-10-31T00:00:00""]",[6.54126],[0.09954866942731062],[0.11414649080825881]
