category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
30,S9_G30_EsAll_36120d-30Seed/260505_034434/30/forecast_Wh_metrics_30d.json,[0.7381713333333332],[13.071811640328601],[1.032545828439639],[0.9928111868423425],[-1.8824054871303981],[0.7867438608885822],[14.244428129462575],"[""2026-01-29T00:00:00""]",[4.72749],[0.13517918958070171],[0.1542245121149024]
30,S9_G30_EsAll_36120d-30Seed/260505_055919/30/forecast_Wh_metrics_30d.json,[0.5378101111111111],[9.277237409175328],[0.7522827853702031],[0.7233332840181201],[-0.9069714048555269],[0.639923287932321],[9.958283315834853],"[""2026-01-29T00:00:00""]",[4.72749],[0.09848761620153292],[0.12544344071634653]
30,S9_G30_EsAll_36120d-30Seed/260505_074637/30/forecast_Wh_metrics_30d.json,[1.1434815370050369],[20.309495372163315],[1.5994892210195524],[1.537937346821393],[-5.341211799874338],[1.1669223403052416],[22.98120281631252],"[""2026-01-29T00:00:00""]",[4.72749],[0.20940247946886237],[0.22875047084103384]
30,S9_G30_EsAll_36120d-30Seed/260505_100638/30/forecast_Wh_metrics_30d.json,[0.6916126666666667],[12.240465346766074],[0.967420084762636],[0.9301916254697837],[-1.507856350426723],[0.7338497541328945],[13.142405457081688],"[""2026-01-29T00:00:00""]",[4.72749],[0.12665303509087955],[0.14385573999771553]
30,S9_G30_EsAll_36120d-30Seed/260505_122358/30/forecast_Wh_metrics_30d.json,[0.6983873461399838],[12.338975537746725],[0.9768964308537277],[0.9393033008555077],[-1.5946980803197617],[0.7464474522234747],[13.278613636447878],"[""2026-01-29T00:00:00""]",[4.72749],[0.12789366262478363],[0.14632525255240672]
30,S9_G30_EsAll_36120d-30Seed/260505_134121/30/forecast_Wh_metrics_30d.json,[0.6417021735070204],[11.545134933933502],[0.8976058435692754],[0.8630639903095882],[-1.1522867275197481],[0.6798387082508537],[12.282526898539615],"[""2026-01-29T00:00:00""]",[4.72749],[0.11751307027210559],[0.1332680155627701]
30,S9_G30_EsAll_36120d-30Seed/260505_153415/30/forecast_Wh_metrics_30d.json,[0.5987949433186596],[10.572369790567572],[0.837587688514634],[0.8053554662802652],[-1.0112285642329932],[0.6571833304854237],[11.25347913055625],"[""2026-01-29T00:00:00""]",[4.72749],[0.10965559282466307],[0.12882690739993552]
30,S9_G30_EsAll_36120d-30Seed/260505_172043/30/forecast_Wh_metrics_30d.json,[0.7314779999999997],[12.852153998122093],[1.0231832684219249],[0.9838089187908448],[-2.0344143369522647],[0.8072225129454487],[14.0182384787969],"[""2026-01-29T00:00:00""]",[4.72749],[0.1339534587310523],[0.15823891919101732]
30,S9_G30_EsAll_36120d-30Seed/260505_184701/30/forecast_Wh_metrics_30d.json,[0.6756198879284453],[11.97583977921162],[0.9450495642267867],[0.9086819719205167],[-1.5559238139096272],[0.7408491330025542],[12.869697343688546],"[""2026-01-29T00:00:00""]",[4.72749],[0.12372432359620003],[0.14522782034679052]
30,S9_G30_EsAll_36120d-30Seed/260505_200605/30/forecast_Wh_metrics_30d.json,[0.6260033999999999],[10.812090844375561],[0.8756465742718683],[0.8419497621437593],[-1.4632379675436997],[0.7272923337719904],[11.740037624122111],"[""2026-01-29T00:00:00""]",[4.72749],[0.11463819910837843],[0.1425702962768703]
30,S9_G30_EsAll_36120d-30Seed/260505_215553/30/forecast_Wh_metrics_30d.json,[0.48688277777777783],[8.491862738502366],[0.681046199482435],[0.6548380391254951],[-0.48179667228495093],[0.5640922491034872],[8.956833041305211],"[""2026-01-29T00:00:00""]",[4.72749],[0.08916144037129714],[0.1105783676627935]
30,S9_G30_EsAll_36120d-30Seed/260506_015610/30/forecast_Wh_metrics_30d.json,[0.6731296666666664],[11.840283176385737],[0.9415662704985807],[0.9053327230202071],[-1.7666557766316244],[0.7707852386826758],[12.720618603009298],"[""2026-01-29T00:00:00""]",[4.72749],[0.12326829655092883],[0.15109616139481905]
30,S9_G30_EsAll_36120d-30Seed/260506_050847/30/forecast_Wh_metrics_30d.json,[1.0367231798984025],[18.375711133389522],[1.4501568217461345],[1.3943515877459802],[-4.725308138441402],[1.1088052090897458],[20.82401607657119],"[""2026-01-29T00:00:00""]",[4.72749],[0.1898521291057913],[0.21735783512716336]
30,S9_G30_EsAll_36120d-30Seed/260506_073544/30/forecast_Wh_metrics_30d.json,[0.8802153821607938],[15.679649977378677],[1.2312354597602866],[1.1838548027783213],[-3.3555911258525724],[0.9671178006473513],[17.525026667669312],"[""2026-01-29T00:00:00""]",[4.72749],[0.16119130700952503],[0.1895830121813917]
30,S9_G30_EsAll_36120d-30Seed/260506_094208/30/forecast_Wh_metrics_30d.json,[0.549426466666667],[9.469602669580986],[0.7685316139672146],[0.7389568218407223],[-0.9925317936240714],[0.654121546318557],[10.189988084343089],"[""2026-01-29T00:00:00""]",[4.72749],[0.10061488592737072],[0.12822670930140467]
30,S9_G30_EsAll_36120d-30Seed/260506_113754/30/forecast_Wh_metrics_30d.json,[0.7483904818016291],[13.238815787485716],[1.0468402593456676],[1.0065555365091232],[-2.1138592021341003],[0.8177213001503888],[14.468541972959189],"[""2026-01-29T00:00:00""]",[4.72749],[0.13705059279804302],[0.16029698461100203]
30,S9_G30_EsAll_36120d-30Seed/260506_132240/30/forecast_Wh_metrics_30d.json,[0.7099191115111357],[12.534990003277827],[0.9930269356442067],[0.9548130682327122],[-1.8734328803534188],[0.7855183835090028],[13.533822162648654],"[""2026-01-29T00:00:00""]",[4.72749],[0.1300054415938583],[0.15398428316572443]
30,S9_G30_EsAll_36120d-30Seed/260506_164531/30/forecast_Wh_metrics_30d.json,[0.6869225190924],[12.157154457922129],[0.9608595586437105],[0.9238835628704865],[-1.604979603154383],[0.747924893648795],[13.134472114796031],"[""2026-01-29T00:00:00""]",[4.72749],[0.12579414187805282],[0.14661487372941978]
30,S9_G30_EsAll_36120d-30Seed/260506_184140/30/forecast_Wh_metrics_30d.json,[0.5715246957288601],[10.117382581314562],[0.7994423703237847],[0.7686780640938984],[-1.0672581980840348],[0.6662744910677482],[10.748459827454848],"[""2026-01-29T00:00:00""]",[4.72749],[0.10466167094990295],[0.13060903735997573]
30,S9_G30_EsAll_36120d-30Seed/260506_203606/30/forecast_Wh_metrics_30d.json,[0.6181284666666665],[10.671973136775813],[0.8646312053522224],[0.8313582889234893],[-1.4156229245745942],[0.7202286546814696],[11.579209394825083],"[""2026-01-29T00:00:00""]",[4.72749],[0.11319608525495228],[0.14118561122798867]
30,S9_G30_EsAll_36120d-30Seed/260506_222335/30/forecast_Wh_metrics_30d.json,[0.440151],[8.15168066789724],[0.6156783099138714],[0.5919856501695324],[-0.0006065394320100559],[0.46354029542950165],[8.07239414053161],"[""2026-01-29T00:00:00""]",[4.72749],[0.08060358454243521],[0.09086728154124975]
30,S9_G30_EsAll_36120d-30Seed/260507_010924/30/forecast_Wh_metrics_30d.json,[0.46622433333333313],[8.234759095474596],[0.6521493977916395],[0.627053250119141],[-0.2656056187962712],[0.5213207626345282],[8.559993447774577],"[""2026-01-29T00:00:00""]",[4.72749],[0.0853783189577527],[0.10219392138868584]
