column,records,values_count,min,median,max,mean,std
category,30,30,60.0,60.0,60.0,60.0,0.0
file,30,0,,,,,
MAE,30,30,0.4440307999999999,0.7809886917619067,1.3343986710156688,0.7890769231955925,0.18686944869487113
MAPE(%),30,30,8.632066528109979,14.127702154089596,25.230635343121005,14.385061063157652,3.5288711111557625
MASE_lag1,30,30,0.6041369431100105,1.0625932274169374,1.815548682653246,1.0735978681164413,0.25424978964335904
MASE_lastValue,30,30,0.594682779725938,1.045964663152859,1.787137088107842,1.056797091786303,0.2502710244328086
R2,30,30,-10.928811160548038,-2.416387286367198,-0.07872686878789459,-2.71472568912209,1.963173405921511
RMSSE,30,30,0.4749955757789106,0.8453017638179736,1.5795464368067729,0.8583750955527092,0.2003610257582542
SMAPE(%),30,30,8.344225255578609,15.16394181152792,26.063873597965415,15.362534916617584,3.7265626074779057
last_value_index,30,0,,,,,
last_value_value,30,30,4.57906,4.57906,4.57906,4.57906,0.0
nMAE,30,30,0.08343150782783161,0.14674446941559344,0.25072786204536235,0.14826421386614255,0.03511197842935382
nRMSE,30,30,0.09903616063642351,0.17624467581713815,0.32933404567350794,0.17897045400909578,0.041775098009563534
