category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,S9_G30_EsAll_36120d-30Seed/260505_034434/120/forecast_Wh_metrics_120d.json,[0.8887187636917896],[15.771482979449866],[1.0890981277105853],[0.8250924472027857],[-1.5242344644563612],[0.8545723547139068],[17.1624906813107],"[""2025-10-31T00:00:00""]",[6.54126],[0.16257040642507956],[0.19040181592709624]
30,S9_G30_EsAll_36120d-30Seed/260505_034434/30/forecast_Wh_metrics_30d.json,[0.7381713333333332],[13.071811640328601],[1.032545828439639],[0.9928111868423425],[-1.8824054871303981],[0.7867438608885822],[14.244428129462575],"[""2026-01-29T00:00:00""]",[4.72749],[0.13517918958070171],[0.1542245121149024]
60,S9_G30_EsAll_36120d-30Seed/260505_034434/60/forecast_Wh_metrics_60d.json,[0.882704174879546],[15.795498525063426],[1.200984710705143],[1.1821904525385605],[-3.693813571127886],[0.9908244949073648],[17.917449231743856],"[""2025-12-30T00:00:00""]",[4.57906],[0.16585637815242207],[0.20658603752095356]
120,S9_G30_EsAll_36120d-30Seed/260505_055919/120/forecast_Wh_metrics_120d.json,[1.23572554219045],[23.25061303326611],[1.5143445028358866],[1.1472558624074511],[-4.058714880508361],[1.2097735763917163],[21.998790918595184],"[""2025-10-31T00:00:00""]",[6.54126],[0.2260472174450717],[0.2695419346706044]
30,S9_G30_EsAll_36120d-30Seed/260505_055919/30/forecast_Wh_metrics_30d.json,[0.5378101111111111],[9.277237409175328],[0.7522827853702031],[0.7233332840181201],[-0.9069714048555269],[0.639923287932321],[9.958283315834853],"[""2026-01-29T00:00:00""]",[4.72749],[0.09848761620153292],[0.12544344071634653]
60,S9_G30_EsAll_36120d-30Seed/260505_055919/60/forecast_Wh_metrics_60d.json,[0.7209333170109813],[12.954096074284854],[0.9808834214319694],[0.965533537216633],[-2.2501336836890617],[0.8244881701768366],[14.258684214953249],"[""2025-12-30T00:00:00""]",[4.57906],[0.13546031870209524],[0.17190505981148435]
120,S9_G30_EsAll_36120d-30Seed/260505_074637/120/forecast_Wh_metrics_120d.json,[0.7048901049830757],[12.342365145223996],[0.8638216328298706],[0.6544246903413137],[-0.6585869466509513],[0.6927126440554435],[13.293386145215807],"[""2025-10-31T00:00:00""]",[6.54126],[0.12894323326322527],[0.1543388861297438]
30,S9_G30_EsAll_36120d-30Seed/260505_074637/30/forecast_Wh_metrics_30d.json,[1.1434815370050369],[20.309495372163315],[1.5994892210195524],[1.537937346821393],[-5.341211799874338],[1.1669223403052416],[22.98120281631252],"[""2026-01-29T00:00:00""]",[4.72749],[0.20940247946886237],[0.22875047084103384]
60,S9_G30_EsAll_36120d-30Seed/260505_074637/60/forecast_Wh_metrics_60d.json,[0.5974048333333333],[11.86331921429496],[0.8128137278070471],[0.8000939730045246],[-0.9239343341575132],[0.6343499923042305],[11.03876569582259],"[""2025-12-30T00:00:00""]",[4.57906],[0.11224983949004087],[0.13226141661327262]
120,S9_G30_EsAll_36120d-30Seed/260505_100638/120/forecast_Wh_metrics_120d.json,[0.7089262154780123],[13.193474299730665],[0.8687677649054537],[0.6581718423330353],[-0.656747128316207],[0.6923283352758888],[12.954349876997059],"[""2025-10-31T00:00:00""]",[6.54126],[0.12968154570845],[0.1542532607416765]
