category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260502_223253/120/forecast_Wh_metrics_120d.json,[1.2795483095238096],[22.826774736439027],[1.5680479867767416],[1.1879412128461861],[-4.153760621147107],[1.2210856140747381],[26.836660392381713],"[""2025-10-31T00:00:00""]",[6.54126],[0.23406357243510395],[0.27206229763905565]
120,260502_233544/120/forecast_Wh_metrics_120d.json,[0.8720778880348808],[15.576184204982676],[1.0687052348609758],[0.8096429468880633],[-1.616942633073597],[0.8701238935764165],[17.333258694274832],"[""2025-10-31T00:00:00""]",[6.54126],[0.15952634566104792],[0.19386675511398807]
120,260503_003238/120/forecast_Wh_metrics_120d.json,[0.5765887943076777],[10.49650512026072],[0.7065922336677193],[0.5353088949633265],[-0.07861977070358517],[0.5586221880616481],[10.7054130528029],"[""2025-10-31T00:00:00""]",[6.54126],[0.10547349562122421],[0.12446304685308207]
120,260503_015120/120/forecast_Wh_metrics_120d.json,[1.3043128384979368],[25.683215281571993],[1.5983961725484894],[1.2109327672612262],[-4.229428498273607],[1.230016983357817],[21.85539964570021],"[""2025-10-31T00:00:00""]",[6.54126],[0.23859366643641136],[0.27405223906511894]
120,260503_030458/120/forecast_Wh_metrics_120d.json,[0.8415740163395836],[15.007443460579214],[1.0313236571239792],[0.7813229482850395],[-1.4264907166711742],[0.837863574853816],[16.593307609201887],"[""2025-10-31T00:00:00""]",[6.54126],[0.15394637253384302],[0.186679039254368]
120,260503_040814/120/forecast_Wh_metrics_120d.json,[0.7144626493120936],[12.748525705051325],[0.8755524981295433],[0.6633119045524515],[-0.7583618531637286],[0.7132439886077222],[13.712447784153673],"[""2025-10-31T00:00:00""]",[6.54126],[0.13069430737763457],[0.15891334406138083]
120,260503_050611/120/forecast_Wh_metrics_120d.json,[1.2371080688369696],[22.226707253548614],[1.5160387476788555],[1.1485394093974586],[-3.9288796637612737],[1.194147849635853],[26.163831311700854],"[""2025-10-31T00:00:00""]",[6.54126],[0.22630011850669046],[0.2660604661523618]
120,260503_060859/120/forecast_Wh_metrics_120d.json,[0.5721783224943702],[10.372969024389757],[0.7011873330507459],[0.5312141834185358],[-0.06009396701796432],[0.5538041103898155],[10.596907461042692],"[""2025-10-31T00:00:00""]",[6.54126],[0.10466670248878572],[0.12338956169651875]
120,260503_072231/120/forecast_Wh_metrics_120d.json,[1.112193122572052],[19.849595169334275],[1.3629592362988405],[1.0325675373985133],[-2.993812602803639],[1.0749241864148613],[22.892805679414117],"[""2025-10-31T00:00:00""]",[6.54126],[0.2034498373913282],[0.23949700215362635]
120,260503_081845/120/forecast_Wh_metrics_120d.json,[1.1134887038733607],[20.375583635006144],[1.3645469322350563],[1.0337703637482196],[-3.479745618297687],[1.1384413719371935],[23.485949958305742],"[""2025-10-31T00:00:00""]",[6.54126],[0.20368683382632585],[0.25364886114990653]
120,260503_092514/120/forecast_Wh_metrics_120d.json,[0.6328827002921701],[12.559526519935476],[0.7755787231107268],[0.587572533978218],[-0.3761192362149328],[0.6309748167578711],[11.532480241735694],"[""2025-10-31T00:00:00""]",[6.54126],[0.11577115507103412],[0.14058347459085008]
120,260503_102456/120/forecast_Wh_metrics_120d.json,[0.6746352850599556],[11.979368198809375],[0.8267452605525342],[0.6263359130701454],[-0.534287106171583],[0.6662501364673168],[12.75216387759114],"[""2025-10-31T00:00:00""]",[6.54126],[0.12340881835924898],[0.14844294359079907]
120,260504_004856/120/forecast_Wh_metrics_120d.json,[1.0802837537738155],[21.40457637276659],[1.3238552641150843],[1.0029426658800313],[-2.64961770629222],[1.0275611610712883],[18.61786589542372],"[""2025-10-31T00:00:00""]",[6.54126],[0.19761276129230693],[0.22894434855621806]
120,260504_014708/120/forecast_Wh_metrics_120d.json,[0.6841559849250891],[13.623107536197097],[0.8384125920202957],[0.6351749945340881],[-0.5938468997230784],[0.679058663445559],[12.396004149795337],"[""2025-10-31T00:00:00""]",[6.54126],[0.12515040873604757],[0.15129672979457223]
120,260504_025133/120/forecast_Wh_metrics_120d.json,[0.5714018255088348],[10.841358260378724],[0.7002357593384879],[0.5304932784211218],[-0.20286200105507324],[0.5899183371670732],[10.640933497061827],"[""2025-10-31T00:00:00""]",[6.54126],[0.10452466044389634],[0.13143594222973276]
120,260504_041643/120/forecast_Wh_metrics_120d.json,[0.6322010172786824],[11.841863819646061],[0.7747433410708591],[0.5869396549069146],[-0.44309702310844257],[0.6461476344735032],[11.977383249534913],"[""2025-10-31T00:00:00""]",[6.54126],[0.11564645703484615],[0.14396403333447377]
120,260504_054623/120/forecast_Wh_metrics_120d.json,[0.5765887943076777],[10.49650512026072],[0.7065922336677193],[0.5353088949633265],[-0.07861977070358517],[0.5586221880616481],[10.7054130528029],"[""2025-10-31T00:00:00""]",[6.54126],[0.10547349562122421],[0.12446304685308207]
120,260504_065251/120/forecast_Wh_metrics_120d.json,[0.7341970138915204],[13.040378908701381],[0.8997363686553889],[0.6816334206833724],[-0.8209761392381207],[0.7258320162512217],[14.061584421806412],"[""2025-10-31T00:00:00""]",[6.54126],[0.13430424991658915],[0.16171800221471552]
120,260504_080515/120/forecast_Wh_metrics_120d.json,[0.6202222317045347],[12.23770817106006],[0.7600636994631398],[0.5758184702220837],[-0.2946230196784949],[0.6120059660061876],[11.309776791565467],"[""2025-10-31T00:00:00""]",[6.54126],[0.11345521710740446],[0.1363571459374036]
120,260504_090827/120/forecast_Wh_metrics_120d.json,[0.6841559849250891],[13.623107536197097],[0.8384125920202957],[0.6351749945340881],[-0.5938468997230784],[0.679058663445559],[12.396004149795337],"[""2025-10-31T00:00:00""]",[6.54126],[0.12515040873604757],[0.15129672979457223]
120,260504_101611/120/forecast_Wh_metrics_120d.json,[1.6423494337640276],[29.536271335430293],[2.012649857789277],[1.5247682043274835],[-7.001029532922358],[1.5214473568174294],[36.43462372177933],"[""2025-10-31T00:00:00""]",[6.54126],[0.3004295912802543],[0.33898398184493145]
120,260504_120444/120/forecast_Wh_metrics_120d.json,[0.7026031927360236],[12.446165907705401],[0.8610190906216286],[0.6523015057079433],[-0.6628349659110615],[0.6935991742626979],[13.348576922265243],"[""2025-10-31T00:00:00""]",[6.54126],[0.12852489591214095],[0.1545364082709696]
120,260504_141537/120/forecast_Wh_metrics_120d.json,[1.1610007819808845],[20.79572937999504],[1.422771555619388],[1.0778808949972503],[-3.403723305947822],[1.1287402323666489],[24.243784773824046],"[""2025-10-31T00:00:00""]",[6.54126],[0.21237806232695308],[0.2514874121156556]
120,260504_152030/120/forecast_Wh_metrics_120d.json,[2.0256784385036606],[37.004942923244656],[2.482408029232454],[1.8806534174297462],[-11.091939574779374],[1.870389162700207],[48.53816846536672],"[""2025-10-31T00:00:00""]",[6.54126],[0.37055070792706724],[0.4167294800774405]
120,260504_162633/120/forecast_Wh_metrics_120d.json,[1.3075833810212012],[25.74629965764953],[1.6024041240897493],[1.2139691608251375],[-4.255791872532015],[1.2331135579954073],[21.901321576079116],"[""2025-10-31T00:00:00""]",[6.54126],[0.2391919360453807],[0.27474216711029703]
120,260504_172357/120/forecast_Wh_metrics_120d.json,[2.1833807359286275],[39.88489606927351],[2.6756674537861973],[2.0270652856470277],[-13.312943220034064],[2.0349252820987505],[51.85083055501553],"[""2025-10-31T00:00:00""]",[6.54126],[0.3993986715731199],[0.4533887234361473]
120,260504_181133/120/forecast_Wh_metrics_120d.json,[2.078643835316807],[37.550774539542694],[2.547315530749606],[1.929826846256755],[-10.511783654769559],[1.8249682067343442],[47.76320121340206],"[""2025-10-31T00:00:00""]",[6.54126],[0.3802394941192366],[0.4066095265716426]
120,260504_190154/120/forecast_Wh_metrics_120d.json,[0.9804503625995178],[17.403992877381135],[1.2015124444819507],[0.9102566774641042],[-2.1413300787269143],[0.953324555697676],[19.66473298143706],"[""2025-10-31T00:00:00""]",[6.54126],[0.179350566725176],[0.21240416399088535]
120,260504_195558/120/forecast_Wh_metrics_120d.json,[1.7788501758737323],[32.3545191380867],[2.1799274136779716],[1.6514964067167732],[-8.575590122684659],[1.6644347230473981],[41.074004737504765],"[""2025-10-31T00:00:00""]",[6.54126],[0.3253992240017657],[0.3708420849471938]
120,260504_204647/120/forecast_Wh_metrics_120d.json,[1.3069980350767196],[23.517695048878977],[1.6016868002318063],[1.213425721733353],[-4.454998186863566],[1.256265110702071],[27.965454610609214],"[""2025-10-31T00:00:00""]",[6.54126],[0.2390848606330215],[0.2799004169092347]
