category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260502_223253/120/forecast_Wh_metrics_120d.json,[1.2795483095238096],[22.826774736439027],[1.5680479867767416],[1.1879412128461861],[-4.153760621147107],[1.2210856140747381],[26.836660392381713],"[""2025-10-31T00:00:00""]",[6.54126],[0.23406357243510395],[0.27206229763905565]
30,260502_223253/30/forecast_Wh_metrics_30d.json,[0.8475885591723298],[14.841854381382676],[1.1855974236422349],[1.1399730189818695],[-2.912022125437518],[0.9165506631545599],[16.409896324942313],"[""2026-01-29T00:00:00""]",[4.72749],[0.15521645091445374],[0.17967039322550335]
60,260502_223253/60/forecast_Wh_metrics_60d.json,[1.1644606039446563],[21.067891538556083],[1.5843352975495428],[1.5595419705911233],[-5.682986203137586],[1.18227661281314],[24.17848269953316],"[""2025-12-30T00:00:00""]",[4.57906],[0.2187972185560329],[0.24650363606280862]
120,260502_233544/120/forecast_Wh_metrics_120d.json,[0.8720778880348808],[15.576184204982676],[1.0687052348609758],[0.8096429468880633],[-1.616942633073597],[0.8701238935764165],[17.333258694274832],"[""2025-10-31T00:00:00""]",[6.54126],[0.15952634566104792],[0.19386675511398807]
30,260502_233544/30/forecast_Wh_metrics_30d.json,[0.73146950941266],[12.733335295071088],[1.0231713918830472],[0.9837974992873865],[-2.088899953660506],[0.8144374695065741],[13.93909462973488],"[""2026-01-29T00:00:00""]",[4.72749],[0.1339519038742544],[0.159653258991919]
60,260502_233544/60/forecast_Wh_metrics_60d.json,[4.594108409791889],[87.66372560130539],[6.2506263326950835],[6.152810029163179],[-86.38624206389139],[4.2751892866057934],[59.64269418622802],"[""2025-12-30T00:00:00""]",[4.57906],[0.8632135242723231],[0.8913732138349039]
120,260503_003238/120/forecast_Wh_metrics_120d.json,[0.5765887943076777],[10.49650512026072],[0.7065922336677193],[0.5353088949633265],[-0.07861977070358517],[0.5586221880616481],[10.7054130528029],"[""2025-10-31T00:00:00""]",[6.54126],[0.10547349562122421],[0.12446304685308207]
30,260503_003238/30/forecast_Wh_metrics_30d.json,[0.6172709329684631],[10.789811617775618],[0.8634316967790189],[0.8302049400866737],[-1.2626876620268326],[0.6970567372822366],[11.64759950739997],"[""2026-01-29T00:00:00""]",[4.72749],[0.1130390475793793],[0.1366432463830603]
60,260503_003238/60/forecast_Wh_metrics_60d.json,[0.5496183461299786],[10.63280110276075],[0.7477966562412901],[0.736094356213462],[-0.7925596290236292],[0.6123089705417483],[10.350283334265336],"[""2025-12-30T00:00:00""]",[4.57906],[0.10327096081502271],[0.1276658829216575]
120,260503_015120/120/forecast_Wh_metrics_120d.json,[1.3043128384979368],[25.683215281571993],[1.5983961725484894],[1.2109327672612262],[-4.229428498273607],[1.230016983357817],[21.85539964570021],"[""2025-10-31T00:00:00""]",[6.54126],[0.23859366643641136],[0.27405223906511894]
30,260503_015120/30/forecast_Wh_metrics_30d.json,[0.47151376687211816],[8.189284947978043],[0.6595481984340575],[0.6341673285887711],[-0.5446106233752921],[0.5759242076905763],[8.671098917793394],"[""2026-01-29T00:00:00""]",[4.72749],[0.08634695768270176],[0.11289777316587117]
60,260503_015120/60/forecast_Wh_metrics_60d.json,[1.4434294382987742],[26.27892193179055],[1.9638931543686187],[1.9331601112034675],[-9.070884262817549],[1.4513348335247362],[31.24532343290216],"[""2025-12-30T00:00:00""]",[4.57906],[0.27121428171277034],[0.3026020389231896]
120,260503_030458/120/forecast_Wh_metrics_120d.json,[0.8415740163395836],[15.007443460579214],[1.0313236571239792],[0.7813229482850395],[-1.4264907166711742],[0.837863574853816],[16.593307609201887],"[""2025-10-31T00:00:00""]",[6.54126],[0.15394637253384302],[0.186679039254368]
