category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
30,260505_032514/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_032740/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_032932/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_033131/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_033335/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_033544/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_033809/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_034021/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_034231/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_034449/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_034729/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_035003/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_035254/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_035525/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_035752/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_040036/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_040331/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_040654/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_041016/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_041255/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_041559/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_041848/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_042115/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_042418/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_042836/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_043357/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_043924/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_044415/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_045023/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_045504/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
30,260505_050008/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
