category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260505_033347/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_033543/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_033801/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_033959/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_034157/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_034356/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_034609/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_034826/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_035039/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_035302/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_035515/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_035728/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_035957/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_040229/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_040518/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_040823/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_041057/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_041333/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_041606/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_041831/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_042045/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_042326/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_042600/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_042932/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_043327/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_043718/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_044133/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_044451/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
90,260505_044856/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
