category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,260505_033347/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_033543/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_033801/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_033959/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_034157/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_034356/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_034609/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_034826/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_035039/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_035302/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_035515/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_035728/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_035957/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_040229/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_040518/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_040823/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_041057/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_041333/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_041606/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_041831/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_042045/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_042326/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_042600/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_042932/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_043327/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_043718/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_044133/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_044451/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_044856/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
60,260505_045238/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
