tmy_col,train_col,rule,output_typ,Note
date,date,,,
G(h)_kWhm2,GloblRad,GloblRad = G(h)_kWhm2*3.6,,GloblRad(MJ/m2) = G(h)_kWhm2 * 3.6
T2m_mean,Temperature,,,
RH_mean,RH,,,
date,day_of_year,day_of_year = to_datetime(date).dt.dayofyear,int,
date,sin_DOY_k1,sin_DOY_k1 = sin(2*pi*1*day_of_year/365.25),float,
date,cos_DOY_k1,cos_DOY_k1 = cos(2*pi*1*day_of_year/365.25),float,
date,sin_DOY_k2,sin_DOY_k2 = sin(2*pi*2*day_of_year/365.25),float,
date,cos_DOY_k2,cos_DOY_k2 = cos(2*pi*2*day_of_year/365.25),float,
date,sin_DOY_k3,sin_DOY_k3 = sin(2*pi*3*day_of_year/365.25),float,
date,cos_DOY_k3,cos_DOY_k3 = cos(2*pi*3*day_of_year/365.25),float,
date,month_2,month_2  = (to_datetime(date).dt.month == 2),bool,
date,month_3,month_3  = (to_datetime(date).dt.month == 3),bool,
date,month_4,month_4  = (to_datetime(date).dt.month == 4),bool,
date,month_5,month_5  = (to_datetime(date).dt.month == 5),bool,
date,month_6,month_6  = (to_datetime(date).dt.month == 6),bool,
date,month_7,month_7  = (to_datetime(date).dt.month == 7),bool,
date,month_8,month_8  = (to_datetime(date).dt.month == 8),bool,
date,month_9,month_9  = (to_datetime(date).dt.month == 9),bool,
date,month_10,month_10 = (to_datetime(date).dt.month == 10),bool,
date,month_11,month_11 = (to_datetime(date).dt.month == 11),bool,
date,month_12,month_12 = (to_datetime(date).dt.month == 12),bool,
date,season_spring,"season_spring = month in {3,4,5}",bool,
date,season_summer,"season_summer = month in {6,7,8}",bool,
date,season_autumn,"season_autumn = month in {9,10,11}",bool,
date,is_weekend,is_weekend = (to_datetime(date).dt.dayofweek > 4),bool,
