date,E_day_kWh,Hpoa_day_kWhm2,G(i)_Whm2,G(i)_kWhm2,G(i)_mean,G(i)_min,G(i)_max,G(i)_std,G(i)_p10,G(i)_p90,P_Wh,P_kWh,P_mean,P_min,P_max,P_std,P_p10,P_p90,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,H_sun_max,H_sun_mean,n_obs_P,valid_frac_P,n_obs_G(i),valid_frac_G(i),n_obs_T2m,valid_frac_T2m,n_obs_WS10m,valid_frac_WS10m,n_obs_H_sun,valid_frac_H_sun
2005-01-01,0.42744,5.9336400000000005,5933.64,5.9336400000000005,370.8525,0.0,948.34,380.8439946312225,0.0,865.8050000000001,427.44,0.42744,26.715,0.0,67.0,27.357305910243912,0.0,61.864999999999995,9.9375,7.8,12.54,1.5753327690787535,8.399999999999999,12.129999999999999,1.930625,3.24,1.1006693039540378,0.48,3.17,42.31,16.830625,16,1.0,16,1.0,16,1.0,16,1.0,16,1.0
2005-01-02,0.39198,5.5619499999999995,5561.95,5.5619499999999995,231.74791666666667,0.0,851.65,317.3832545099018,0.0,736.814,391.98,0.39198,16.3325,0.0,59.11,22.372267430906504,0.0,52.006,10.753750000000002,7.42,14.78,2.731377757931286,7.742,14.556,1.2091666666666667,1.93,0.36585714326135865,0.83,1.769,42.41,11.511249999999999,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-03,0.31001,4.46126,4461.26,4.46126,185.88583333333335,0.0,831.17,283.5977724036612,0.0,670.0199999999999,310.01,0.31001,12.917083333333332,0.0,57.02,19.747895535466817,0.0,46.826999999999984,12.457500000000001,6.61,18.48,3.889636453337309,7.526,17.358,1.3145833333333334,2.07,0.3118804002465864,1.03,1.769,42.51,11.542916666666668,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-04,0.32182,4.6241,4624.1,4.6241,192.67083333333335,0.0,829.21,280.605665456405,0.0,658.1419999999998,321.82,0.32182,13.409166666666666,0.0,57.03,19.56749876634759,0.0,46.099999999999994,14.650416666666667,11.61,18.67,2.4432773413320605,11.693,17.982,1.4858333333333331,2.41,0.48766450215969864,0.9,2.3219999999999996,42.63,11.57875,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-05,0.28912,4.15319,4153.1900000000005,4.15319,173.04958333333335,0.0,640.63,243.16659639877898,0.0,595.291,289.12,0.28912,12.046666666666667,0.0,44.85,17.0648050388656,0.0,41.779,15.400833333333333,13.58,18.39,1.8046387490278355,13.675,18.135,1.1558333333333333,1.93,0.4031928728953715,0.76,1.769,42.75,11.61625,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-06,0.43629,6.35854,6358.54,6.35854,264.93916666666667,0.0,968.07,366.2119100112092,0.0,851.5,436.29,0.43629,18.17875,0.0,65.27,25.051555763977056,0.0,58.331,15.330416666666666,11.14,19.65,2.7776569406084226,12.027000000000001,19.272,1.42,2.28,0.4929679414569955,0.851,2.1679999999999997,42.88,11.655833333333334,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-07,0.29344,4.20629,4206.29,4.20629,175.26208333333332,0.0,658.23,243.21457459509088,0.0,604.011,293.44,0.29344,12.226666666666667,0.0,45.96,17.0750582573751,0.0,42.373,15.5675,12.51,19.09,2.2005083404799306,13.190000000000001,18.907,1.5783333333333334,2.28,0.3473961110476259,1.121,2.0,43.02,11.698749999999999,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-08,0.32178,4.61147,4611.47,4.611470000000001,192.14458333333334,0.0,725.04,275.4500652446775,0.0,681.128,321.78000000000003,0.32178,13.4075,0.0,50.67,19.34560915242167,0.0,47.793,15.5875,13.33,18.63,1.811977660866232,13.527,18.381,1.8366666666666667,2.62,0.3733708573274691,1.471,2.389,43.16,11.744166666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-09,0.15592999999999999,2.26495,2264.95,2.26495,94.37291666666665,0.0,632.34,163.7354817056586,0.0,315.37699999999995,155.93,0.15593,6.497083333333333,0.0,44.98,11.66348388521113,0.0,22.417999999999996,14.27875,12.65,16.61,1.059127255563873,12.942,15.758,1.5279166666666668,2.41,0.39148523395627205,1.17,2.07,43.31,11.79125,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-10,0.19352,2.77099,2770.99,2.77099,115.45791666666666,0.0,491.9,160.89866213887458,0.0,339.57099999999997,193.52,0.19352,8.063333333333334,0.0,35.11,11.426828334979984,0.0,24.090999999999998,14.322916666666666,11.84,16.59,1.6619043010345385,12.336,16.573999999999998,1.405,2.21,0.35730878133260496,0.988,1.909,43.47,11.84125,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
