Latitude (decimal degrees):	24.148
Longitude (decimal degrees):	120.703
Elevation (m):	109
Radiation database:	PVGIS-ERA5


Slope: 35 deg. 
Azimuth: 1 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.1
System losses (%):	25.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050101:0030,32.26,437.54,20.47,7.8,1.79,0.0
20050101:0130,46.05,624.97,30.34,9.43,2.62,0.0
20050101:0230,58.47,806.81,37.97,9.95,2.76,0.0
20050101:0330,62.75,877.97,42.26,11.18,2.83,0.0
20050101:0430,67.0,948.34,42.31,11.93,2.9,0.0
20050101:0530,60.98,853.64,38.09,12.54,3.17,0.0
20050101:0630,49.45,680.31,30.52,12.33,3.24,0.0
20050101:0730,35.26,481.67,20.68,11.48,3.17,0.0
20050101:0830,15.22,222.39,9.41,10.91,2.48,0.0
20050101:0930,0.0,0.0,-2.76,9.87,1.86,0.0
20050101:1030,0.0,0.0,0.0,8.94,1.31,0.0
20050101:1130,0.0,0.0,0.0,8.44,0.97,0.0
20050101:1230,0.0,0.0,0.0,8.36,0.48,0.0
20050101:1330,0.0,0.0,0.0,8.83,0.28,0.0
20050101:1430,0.0,0.0,0.0,8.53,0.48,0.0
20050101:1530,0.0,0.0,0.0,8.48,0.55,0.0
20050101:1630,0.0,0.0,0.0,8.38,0.62,0.0
20050101:1730,0.0,0.0,0.0,8.0,0.83,0.0
20050101:1830,0.0,0.0,0.0,8.03,0.9,0.0
20050101:1930,0.0,0.0,0.0,7.77,1.1,0.0
20050101:2030,0.0,0.0,0.0,7.42,1.17,0.0
20050101:2130,0.0,0.0,0.0,7.73,1.1,0.0
20050101:2230,0.0,0.0,-3.01,7.85,1.1,0.0
20050101:2330,10.84,163.0,9.18,7.48,1.24,0.0
20050102:0030,28.15,387.34,20.44,9.23,0.83,0.0
20050102:0130,42.08,587.36,30.34,12.0,0.9,0.0
20050102:0230,52.21,739.64,38.0,13.13,1.31,0.0
20050102:0330,51.53,730.22,42.33,13.89,1.52,0.0
20050102:0430,59.11,851.65,42.41,14.15,1.59,0.0
20050102:0530,55.04,786.4,38.21,14.73,1.72,0.0
20050102:0630,45.78,642.65,30.65,14.78,1.93,0.0
20050102:0730,31.27,437.51,20.81,14.73,1.86,0.0
20050102:0830,15.97,236.18,9.54,14.09,1.79,0.0
20050102:0930,0.0,0.0,-2.63,13.07,1.38,0.0
20050102:1030,0.0,0.0,0.0,11.89,0.76,0.0
