Latitude (decimal degrees): 24.148
Longitude (decimal degrees): 120.703
Elevation (m): 109.0
Irradiance Time Offset (h): 0.5
month,year
1,2018
2,2017
3,2011
4,2015
5,2009
6,2010
7,2017
8,2013
9,2013
10,2005
11,2017
12,2006
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,16.23,78.81,266.6,731.4,77.8,338.99,1.38,33.0,95770.0
20180101:0100,16.67,76.62,378.35,630.15,105.85,337.59,1.46,2.0,95810.0
20180101:0200,17.11,74.42,551.0,752.78,124.65,336.19,1.55,344.0,95830.0
20180101:0300,17.56,72.22,581.7,692.84,130.8,334.8,1.63,336.0,95770.0
20180101:0400,18.0,70.02,607.8,692.14,137.15,333.4,1.72,330.0,95680.0
20180101:0500,18.44,67.82,544.05,655.35,116.8,332.0,1.8,330.0,95580.0
20180101:0600,18.88,65.63,404.85,520.7,108.8,330.6,1.88,333.0,95520.0
20180101:0700,19.32,63.43,258.45,411.78,79.1,329.2,1.97,337.0,95450.0
20180101:0800,18.85,65.75,100.1,221.42,42.1,329.75,1.72,341.0,95440.0
20180101:0900,17.76,70.35,3.4,10.07,2.8,331.9,1.38,344.0,95440.0
20180101:1000,16.36,77.95,0.0,-0.0,0.0,319.7,1.1,17.0,95490.0
20180101:1100,15.29,83.5,0.0,-0.0,0.0,317.95,1.03,44.0,95560.0
20180101:1200,14.67,83.45,0.0,-0.0,0.0,317.95,1.03,47.0,95610.0
20180101:1300,14.46,86.4,0.0,-0.0,0.0,320.65,1.03,48.0,95670.0
20180101:1400,14.11,83.4,0.0,-0.0,0.0,318.55,1.03,55.0,95690.0
20180101:1500,13.6,83.35,0.0,-0.0,0.0,318.35,1.1,62.0,95690.0
20180101:1600,13.01,86.3,0.0,-0.0,0.0,322.0,1.1,66.0,95690.0
20180101:1700,12.42,92.6,0.0,-0.0,0.0,320.3,1.17,71.0,95670.0
20180101:1800,12.36,92.6,0.0,-0.0,0.0,337.7,1.17,74.0,95670.0
20180101:1900,12.41,92.6,0.0,-0.0,0.0,331.3,1.31,79.0,95650.0
20180101:2000,12.11,92.6,0.0,-0.0,0.0,325.9,1.38,79.0,95630.0
20180101:2100,12.0,92.6,0.0,-0.0,0.0,330.15,1.38,75.0,95630.0
20180101:2200,11.54,92.55,0.0,-0.0,0.0,323.75,1.52,72.0,95650.0
20180101:2300,11.39,95.9,42.0,0.0,42.0,323.55,1.52,68.0,95730.0
20180102:0000,13.74,89.45,239.45,593.88,86.5,312.95,1.03,62.0,95760.0
20180102:0100,17.56,72.9,414.5,676.75,122.0,317.1,0.62,18.0,95800.0
20180102:0200,19.35,63.5,558.05,757.37,128.95,326.3,0.9,316.0,95820.0
20180102:0300,20.22,61.5,579.2,638.65,163.15,329.2,1.31,294.0,95740.0
20180102:0400,20.57,61.6,566.5,602.64,156.05,336.15,1.52,289.0,95650.0
20180102:0500,20.87,61.6,464.3,478.09,151.9,343.1,1.38,286.0,95580.0
20180102:0600,20.57,63.8,309.45,358.08,105.2,347.4,1.52,285.0,95510.0
20180102:0700,20.2,65.95,210.75,311.44,74.45,352.4,1.45,310.0,95470.0
20180102:0800,19.69,68.2,70.45,131.34,35.75,352.8,1.1,318.0,95460.0
20180102:0900,18.93,73.05,2.8,6.46,2.4,373.1,0.83,307.0,95430.0
20180102:1000,17.87,80.9,0.0,-0.0,0.0,349.5,0.48,347.0,95470.0
20180102:1100,17.94,75.45,0.0,-0.0,0.0,356.5,0.41,51.0,95510.0
20180102:1200,17.7,75.45,0.0,-0.0,0.0,345.85,0.34,65.0,95560.0
20180102:1300,17.49,78.1,0.0,-0.0,0.0,349.1,0.21,87.0,95610.0
20180102:1400,17.09,78.1,0.0,-0.0,0.0,344.85,0.41,124.0,95670.0
20180102:1500,16.66,78.0,0.0,-0.0,0.0,355.5,0.55,125.0,95660.0
20180102:1600,16.47,80.75,0.0,-0.0,0.0,360.35,0.62,117.0,95650.0
20180102:1700,16.15,80.75,0.0,-0.0,0.0,345.45,0.76,114.0,95620.0
20180102:1800,15.31,83.5,0.0,-0.0,0.0,347.2,0.9,119.0,95610.0
20180102:1900,16.35,80.75,0.0,-0.0,0.0,364.0,0.69,89.0,95590.0
20180102:2000,15.95,83.55,0.0,-0.0,0.0,361.9,0.69,81.0,95590.0
20180102:2100,15.54,83.55,0.0,-0.0,0.0,359.95,0.76,78.0,95590.0
20180102:2200,15.02,83.5,0.0,-0.0,0.0,349.9,0.83,70.0,95610.0
20180102:2300,14.02,86.4,43.6,0.0,43.6,330.95,0.97,71.0,95670.0
20180103:0000,15.66,86.5,187.75,409.08,82.6,335.75,0.62,81.0,95720.0
20180103:0100,18.22,75.55,379.0,587.85,125.0,356.95,0.21,251.0,95760.0
20180103:0200,19.46,73.05,491.65,569.54,168.8,343.7,0.83,262.0,95760.0
20180103:0300,20.36,70.7,476.45,471.41,169.0,359.0,1.24,268.0,95690.0
20180103:0400,20.61,70.8,533.75,497.68,194.2,359.95,1.59,271.0,95610.0
20180103:0500,21.19,68.5,409.7,337.85,188.4,361.9,1.72,272.0,95500.0
20180103:0600,20.58,73.3,348.75,388.15,126.6,376.2,1.93,276.0,95450.0
20180103:0700,20.35,73.2,227.8,288.19,101.05,367.5,1.72,302.0,95400.0
20180103:0800,19.82,75.7,70.95,65.85,53.4,366.55,1.38,309.0,95410.0
20180103:0900,18.72,78.3,2.3,1.56,2.2,362.85,0.97,293.0,95440.0
20180103:1000,17.86,86.7,0.0,-0.0,0.0,368.65,0.69,272.0,95490.0
20180103:1100,17.47,89.7,0.0,-0.0,0.0,358.6,0.34,233.0,95540.0
20180103:1200,17.39,86.65,0.0,-0.0,0.0,355.9,0.21,165.0,95600.0
20180103:1300,17.4,86.65,0.0,-0.0,0.0,366.55,0.14,127.0,95600.0
20180103:1400,17.4,83.7,0.0,-0.0,0.0,370.2,0.07,184.0,95580.0
20180103:1500,17.37,83.7,0.0,-0.0,0.0,373.1,0.14,180.0,95570.0
20180103:1600,17.29,83.7,0.0,-0.0,0.0,368.65,0.07,160.0,95550.0
20180103:1700,16.97,83.65,0.0,-0.0,0.0,355.7,0.07,110.0,95500.0
20180103:1800,16.77,83.65,0.0,-0.0,0.0,356.1,0.14,137.0,95490.0
20180103:1900,16.56,83.65,0.0,-0.0,0.0,351.05,0.28,57.0,95510.0
20180103:2000,16.53,80.8,0.0,-0.0,0.0,365.55,0.21,70.0,95490.0
20180103:2100,16.41,83.6,0.0,-0.0,0.0,358.6,0.28,73.0,95460.0
20180103:2200,16.46,80.75,0.0,-0.0,0.0,367.9,0.28,85.0,95500.0
20180103:2300,15.98,83.55,34.8,0.0,34.8,343.5,0.48,77.0,95510.0
20180104:0000,15.95,92.75,161.3,243.55,98.8,365.4,0.34,59.0,95530.0
20180104:0100,18.03,83.8,170.85,112.14,122.4,361.05,0.28,34.0,95530.0
20180104:0200,18.18,83.8,408.6,403.26,179.85,367.9,1.03,300.0,95530.0
20180104:0300,18.78,83.85,359.75,309.17,157.85,359.55,2.07,297.0,95550.0
20180104:0400,18.62,83.85,275.75,148.27,174.4,365.55,1.79,292.0,95520.0
20180104:0500,18.38,86.75,172.25,49.41,139.8,386.3,1.66,295.0,95420.0
20180104:0600,17.62,86.7,186.85,168.11,90.3,385.5,1.66,290.0,95400.0
20180104:0700,17.67,89.75,87.65,35.4,72.0,386.65,1.17,296.0,95350.0
20180104:0800,17.25,92.85,41.6,71.04,22.5,388.8,1.17,297.0,95340.0
20180104:0900,16.67,96.05,0.95,1.5,0.85,384.35,0.69,277.0,95390.0
20180104:1000,16.45,99.4,0.0,-0.0,0.0,386.85,0.76,327.0,95410.0
20180104:1100,16.2,96.05,0.0,-0.0,0.0,383.0,1.17,322.0,95430.0
20180104:1200,16.04,96.05,0.0,-0.0,0.0,383.0,0.83,351.0,95430.0
20180104:1300,16.06,96.05,0.0,-0.0,0.0,381.65,0.69,2.0,95430.0
20180104:1400,16.06,96.05,0.0,-0.0,0.0,377.55,0.34,358.0,95420.0
20180104:1500,16.14,92.8,0.0,-0.0,0.0,374.45,0.21,13.0,95390.0
20180104:1600,16.45,92.8,0.0,-0.0,0.0,374.65,0.21,22.0,95390.0
20180104:1700,16.13,92.8,0.0,-0.0,0.0,381.85,0.34,330.0,95370.0
20180104:1800,15.89,96.0,0.0,-0.0,0.0,373.3,0.34,359.0,95350.0
20180104:1900,15.89,92.75,0.0,-0.0,0.0,368.65,0.76,30.0,95340.0
20180104:2000,16.78,86.6,0.0,-0.0,0.0,366.95,0.34,28.0,95340.0
20180104:2100,16.09,89.65,0.0,-0.0,0.0,376.8,0.76,32.0,95320.0
20180104:2200,15.91,92.75,0.0,-0.0,0.0,376.6,1.1,12.0,95330.0
20180104:2300,15.53,89.6,22.35,0.0,22.35,358.6,1.24,11.0,95410.0
20180105:0000,16.2,92.8,94.75,66.92,77.6,376.4,1.24,11.0,95460.0
20180105:0100,17.2,89.7,176.95,97.66,134.75,374.4,1.31,10.0,95470.0
20180105:0200,18.02,86.75,229.35,140.38,149.65,374.1,1.45,347.0,95480.0
20180105:0300,18.27,86.75,292.75,200.01,161.95,373.5,2.07,346.0,95430.0
20180105:0400,18.75,83.85,348.8,317.71,131.2,377.4,2.21,346.0,95360.0
20180105:0500,19.04,83.85,404.0,406.86,136.1,371.55,2.21,340.0,95270.0
20180105:0600,19.27,83.85,307.5,320.09,123.0,372.95,2.21,339.0,95210.0
20180105:0700,19.37,81.05,207.55,261.96,91.15,376.8,2.0,340.0,95160.0
20180105:0800,18.93,81.05,80.7,132.52,44.75,373.5,1.72,334.0,95180.0
20180105:0900,18.07,81.0,3.25,7.97,2.7,366.15,1.45,337.0,95220.0
20180105:1000,17.54,83.75,0.0,-0.0,0.0,368.3,1.17,358.0,95240.0
20180105:1100,17.56,80.9,0.0,-0.0,0.0,375.25,1.03,5.0,95300.0
