date,_date(org),doy,month,day,E_day_kWh,Hpoa_day_kWhm2,G(i)_Whm2,G(i)_kWhm2,G(i)_mean,G(i)_min,G(i)_max,G(i)_std,G(i)_p10,G(i)_p90,P,P_kWh,P_mean,P_min,P_max,P_std,P_p10,P_p90,P_mapped_Wh,P_mapped_Wh_kWh,P_mapped_Wh_mean,P_mapped_Wh_min,P_mapped_Wh_max,P_mapped_Wh_std,P_mapped_Wh_p10,P_mapped_Wh_p90,P_normalized_0_1_Wh,P_normalized_0_1_Wh_kWh,P_normalized_0_1_Wh_mean,P_normalized_0_1_Wh_min,P_normalized_0_1_Wh_max,P_normalized_0_1_Wh_std,P_normalized_0_1_Wh_p10,P_normalized_0_1_Wh_p90,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,H_sun_max,H_sun_mean,n_obs_P,valid_frac_P,n_obs_P_mapped_Wh,valid_frac_P_mapped_Wh,n_obs_P_normalized_0_1_Wh,valid_frac_P_normalized_0_1_Wh,n_obs_G(i),valid_frac_G(i),n_obs_T2m,valid_frac_T2m,n_obs_WS10m,valid_frac_WS10m,n_obs_H_sun,valid_frac_H_sun
2026/03/01,2005-03-01,60,3,1,0.17946,2.62066,2620.66,2.62066,109.19416666666666,0.0,498.98,172.46314620600936,0.0,412.84,179.46,0.17946,7.4775,0.0,35.52,12.305835042245468,0.0,29.33,2.851831161367566,0.0028518311613675,0.1188262983903152,0.0,0.5644547133164827,0.1955542396084063,0.0,0.4660883091658906,150.23356271033202,0.150233562710332,6.259731779597168,0.0,29.73529559495706,10.301735431417503,0.0,24.553384566443988,14.379583333333334,12.97,16.54,1.1528772292820708,13.058,16.315,1.0320833333333332,1.93,0.3608080203324641,0.76,1.702,57.9,16.703333333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/03/02,2005-03-02,61,3,2,0.1650599999999999,2.4246,2424.6,2.4246,101.025,0.0,400.27,136.22302936888013,0.0,304.393,165.06,0.16506,6.8775,0.0,28.26,9.563771881882989,0.0,21.267,2.6229981694825053,0.0026229981694825,0.1092915903951043,0.0,0.4490847465744312,0.1519796203776041,0.0,0.3379577248902485,138.17871314480888,0.1381787131448088,5.757446381033703,0.0,23.657642272339142,8.006238285769406,0.0,17.80350595208197,14.783333333333331,13.12,17.1,1.413139171787613,13.406,16.733,1.1879166666666667,1.59,0.255631854289594,0.9,1.499,58.27,16.828333333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/03/03,2005-03-03,62,3,3,0.20414,2.90707,2907.07,2.90707,121.12791666666668,0.0,530.6,188.95543718902903,0.0,446.128,204.14,0.20414,8.505833333333333,0.0,38.31,13.643715519916332,0.0,32.06099999999999,3.2440254835705726,0.0032440254835705,0.1351677284821072,0.0,0.6087911054942131,0.2168147390868811,0.0,0.5094871217240919,170.89423543790917,0.1708942354379092,7.120593143246215,0.0,32.070922698277165,11.42173181301282,0.0,26.839620272238683,12.952916666666669,10.7,15.06,1.4097254717841694,10.964,14.762,1.85625,3.03,0.6083320925141206,1.24,2.739,58.64,16.95375,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/03/04,2005-03-04,63,3,4,0.28192,3.98373,3983.73,3.98373,165.98875,0.0,673.51,235.8168695760133,0.0,568.4939999999999,281.92,0.28192,11.746666666666668,0.0,48.02,17.013854116103676,0.0,41.064,4.48004146334974,0.0044800414633497,0.1866683943062391,0.0,0.7630944632167088,0.2703702181169414,0.0,0.6525554151922308,236.00716593835287,0.2360071659383528,9.833631914098037,0.0,40.19957473169589,14.24301749301294,0.0,34.37641267768346,11.524166666666666,8.97,14.04,1.5833039661654869,9.798,13.812,1.7616666666666667,2.62,0.5266272228854657,1.233,2.487,59.01,17.078333333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/03/05,2005-03-05,64,3,5,0.52019,7.36428,7364.28,7.36428,306.845,0.0,1078.62,406.562701929235,0.0,979.143,520.1899999999999,0.5201899999999999,21.67458333333333,0.0,75.17,28.877984239414705,0.0,68.937,8.26643292004789,0.0082664329200478,0.3444347050019954,0.0,1.19454,0.4589052453552008,0.0,1.095490275109751,435.4730691312137,0.4354730691312137,18.144711213800573,0.0,62.92798901669262,24.1749830390064,0.0,57.710080867949166,8.766666666666667,5.2,11.85,2.013242391649906,6.776,11.708,1.715,3.31,1.0708956024302032,0.48,3.149,59.39,17.20375,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/03/06,2005-03-06,65,3,6,0.51832,7.52417,7524.17,7.52417,313.50708333333336,0.0,1075.87,411.0123655971094,0.0,969.022,518.32,0.51832,21.596666666666668,0.0,72.88,28.36055108722351,0.0,66.586,8.236716413462817,0.0082367164134628,0.3431965172276174,0.0,1.1581491978182783,0.4506826219998932,0.0,1.0581301109485166,433.9076129723576,0.4339076129723576,18.079483873848236,0.0,61.01093307884207,23.741817843875896,0.0,55.74195924791133,9.02625,1.77,14.96,4.985534564247284,1.913,14.714,1.4095833333333332,2.28,0.5193932845714997,0.781,2.119,59.76,17.329583333333336,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/03/07,2005-03-07,66,3,7,0.45664,6.63134,6631.34,6.63134,276.30583333333334,0.0,993.58,365.598907724996,0.0,862.2399999999999,456.64,0.45664,19.026666666666667,0.0,67.52,25.261521980150427,0.0,59.457,7.256548431555141,0.0072565484315551,0.3023561846481309,0.0,1.0729724730610617,0.4014353926588917,0.0,0.9448418887854196,382.27267400003353,0.3822726740000335,15.92802808333473,0.0,56.523850185008456,21.1474893935326,0.0,49.77397157064644,11.121666666666668,4.67,16.29,4.127587638093821,5.409,15.763,1.095,2.0,0.6518201939318782,0.28,1.909,60.13,17.454583333333336,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/03/08,2005-03-08,67,3,8,0.48189,7.07434,7074.34,7.07434,294.76416666666665,0.0,1016.21,386.3242322298344,0.0,910.437,481.89,0.48189,20.07875,0.0,68.25,26.41763217387041,0.0,61.905,7.657800726353598,0.0076578007263535,0.3190750302647332,0.0,1.084573034455235,0.4198073478379029,0.0,0.98374349740588,403.410517856246,0.403410517856246,16.80877157734358,0.0,57.134964086594,22.115318175925808,0.0,51.82329599678538,12.434166666666668,6.0,17.4,3.923191820185577,6.855,17.127,1.2791666666666666,2.07,0.4839234278870687,0.76,1.958,60.51,17.580000000000002,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/03/09,2005-03-09,68,3,9,0.43555,6.51422,6514.22,6.51422,271.42583333333334,0.0,968.06,360.5258837347932,0.0,879.106,435.55,0.43555,18.147916666666667,0.0,63.73,24.16724498683338,0.0,58.505,6.921403445523479,0.0069214034455234,0.288391810230145,0.0,1.012744900891313,0.3840460399969661,0.0,0.9297134854330183,364.61734224052776,0.3646173422405278,15.19238926002199,0.0,53.35108075074924,20.231423800654127,0.0,48.97701207159241,14.66375,7.98,20.66,4.929796549730945,8.219999999999999,20.297,1.2779166666666666,1.93,0.4854668677779617,0.641,1.86,60.88,17.705000000000002,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/03/10,2005-03-10,69,3,10,0.35989,5.36134,5361.34,5.36134,223.38916666666668,0.0,910.18,312.23879729848727,0.0,669.181,359.89,0.35989,14.995416666666666,0.0,60.24,21.088944142280614,0.0,45.675,5.71907676732739,0.0057190767673273,0.2382948653053079,0.0,0.9572846827191698,0.3351282072065968,0.0,0.7258296461354263,301.279153481675,0.301279153481675,12.553298061736458,0.0,50.42945401577177,17.654447856313407,0.0,38.23647596564368,17.285833333333333,11.22,23.18,4.378015151488934,11.543,22.229,1.4116666666666668,2.48,0.6055300708194984,0.5920000000000001,2.217,61.26,17.830833333333334,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
