file,column,used,usage_type,exists_in_other_file
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,date,True,date,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,_date(org),False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,G(h)_Whm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,G(h)_kWhm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,G(h)_mean,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,G(h)_min,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,G(h)_max,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,G(h)_std_Wm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,G(h)_p10_Wm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,G(h)_p90_Wm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gb(n)_Whm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gb(n)_kWhm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gb(n)_mean,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gb(n)_min,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gb(n)_max,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gb(n)_std_Wm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gb(n)_p10_Wm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gb(n)_p90_Wm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gd(h)_Whm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gd(h)_kWhm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gd(h)_mean,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gd(h)_min,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gd(h)_max,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gd(h)_std_Wm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gd(h)_p10_Wm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Gd(h)_p90_Wm2,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,IR(h)_Whm2,False,unused,False
